 frequency       AmagdB          Aphdeg         
 1.00000000e-01  1.10444729e+02 -1.78701702e+00 
 1.05776756e-01  1.10444227e+02 -1.89017579e+00 
 1.11887221e-01  1.10443666e+02 -1.99928044e+00 
 1.18350673e-01  1.10443038e+02 -2.11467200e+00 
 1.25187503e-01  1.10442335e+02 -2.23671075e+00 
 1.32419279e-01  1.10441548e+02 -2.36577727e+00 
 1.40068818e-01  1.10440669e+02 -2.50227347e+00 
 1.48160252e-01  1.10439685e+02 -2.64662377e+00 
 1.56719108e-01  1.10438584e+02 -2.79927622e+00 
 1.65772389e-01  1.10437353e+02 -2.96070370e+00 
 1.75348655e-01  1.10435976e+02 -3.13140522e+00 
 1.85478119e-01  1.10434436e+02 -3.31190715e+00 
 1.96192737e-01  1.10432713e+02 -3.50276456e+00 
 2.07526313e-01  1.10430786e+02 -3.70456257e+00 
 2.19514602e-01  1.10428632e+02 -3.91791775e+00 
 2.32195425e-01  1.10426222e+02 -4.14347943e+00 
 2.45608788e-01  1.10423528e+02 -4.38193118e+00 
 2.59797009e-01  1.10420515e+02 -4.63399212e+00 
 2.74804848e-01  1.10417147e+02 -4.90041831e+00 
 2.90679654e-01  1.10413381e+02 -5.18200404e+00 
 3.07471508e-01  1.10409172e+02 -5.47958307e+00 
 3.25233387e-01  1.10404467e+02 -5.79402981e+00 
 3.44021326e-01  1.10399209e+02 -6.12626026e+00 
 3.63894599e-01  1.10393333e+02 -6.47723290e+00 
 3.84915902e-01  1.10386768e+02 -6.84794930e+00 
 4.07151555e-01  1.10379435e+02 -7.23945445e+00 
 4.30671707e-01  1.10371244e+02 -7.65283680e+00 
 4.55550561e-01  1.10362099e+02 -8.08922780e+00 
 4.81866605e-01  1.10351888e+02 -8.54980104e+00 
 5.09702863e-01  1.10340493e+02 -9.03577074e+00 
 5.39147154e-01  1.10327778e+02 -9.54838952e+00 
 5.70292370e-01  1.10313596e+02 -1.00889453e+01 
 6.03236769e-01  1.10297782e+02 -1.06587575e+01 
 6.38084285e-01  1.10280157e+02 -1.12591715e+01 
 6.74944857e-01  1.10260521e+02 -1.18915526e+01 
 7.13934775e-01  1.10238656e+02 -1.25572778e+01 
 7.55177045e-01  1.10214321e+02 -1.32577265e+01 
 7.98801781e-01  1.10187254e+02 -1.39942686e+01 
 8.44946611e-01  1.10157168e+02 -1.47682516e+01 
 8.93757115e-01  1.10123751e+02 -1.55809847e+01 
 9.45387283e-01  1.10086664e+02 -1.64337204e+01 
 1.00000000e+00  1.10045541e+02 -1.73276344e+01 
 1.05776756e+00  1.09999986e+02 -1.82638024e+01 
 1.11887221e+00  1.09949576e+02 -1.92431741e+01 
 1.18350673e+00  1.09893858e+02 -2.02665458e+01 
 1.25187503e+00  1.09832353e+02 -2.13345293e+01 
 1.32419279e+00  1.09764554e+02 -2.24475205e+01 
 1.40068818e+00  1.09689929e+02 -2.36056658e+01 
 1.48160252e+00  1.09607925e+02 -2.48088281e+01 
 1.56719108e+00  1.09517973e+02 -2.60565537e+01 
 1.65772389e+00  1.09419488e+02 -2.73480403e+01 
 1.75348655e+00  1.09311880e+02 -2.86821083e+01 
 1.85478119e+00  1.09194559e+02 -3.00571765e+01 
 1.96192737e+00  1.09066942e+02 -3.14712435e+01 
 2.07526313e+00  1.08928464e+02 -3.29218774e+01 
 2.19514602e+00  1.08778586e+02 -3.44062141e+01 
 2.32195425e+00  1.08616802e+02 -3.59209663e+01 
 2.45608788e+00  1.08442656e+02 -3.74624438e+01 
 2.59797009e+00  1.08255744e+02 -3.90265856e+01 
