 frequency       AmagdB          Aphdeg         
 1.00000000e+01  6.28807453e+01 -7.44529717e-01 
 1.05776756e+01  6.28806582e+01 -7.87534114e-01 
 1.11887221e+01  6.28805607e+01 -8.33021804e-01 
 1.18350673e+01  6.28804516e+01 -8.81136063e-01 
 1.25187503e+01  6.28803295e+01 -9.32028412e-01 
 1.32419279e+01  6.28801929e+01 -9.85859085e-01 
 1.40068818e+01  6.28800401e+01 -1.04279753e+00 
 1.48160252e+01  6.28798692e+01 -1.10302292e+00 
 1.56719108e+01  6.28796779e+01 -1.16672474e+00 
 1.65772389e+01  6.28794639e+01 -1.23410331e+00 
 1.75348655e+01  6.28792244e+01 -1.30537046e+00 
 1.85478119e+01  6.28789565e+01 -1.38075014e+00 
 1.96192737e+01  6.28786568e+01 -1.46047911e+00 
 2.07526313e+01  6.28783215e+01 -1.54480766e+00 
 2.19514602e+01  6.28779464e+01 -1.63400038e+00 
 2.32195425e+01  6.28775267e+01 -1.72833692e+00 
 2.45608788e+01  6.28770572e+01 -1.82811284e+00 
 2.59797009e+01  6.28765319e+01 -1.93364049e+00 
 2.74804848e+01  6.28759443e+01 -2.04524993e+00 
 2.90679654e+01  6.28752868e+01 -2.16328986e+00 
 3.07471508e+01  6.28745514e+01 -2.28812865e+00 
 3.25233387e+01  6.28737287e+01 -2.42015541e+00 
 3.44021326e+01  6.28728084e+01 -2.55978103e+00 
 3.63894599e+01  6.28717789e+01 -2.70743934e+00 
 3.84915902e+01  6.28706273e+01 -2.86358833e+00 
 4.07151555e+01  6.28693391e+01 -3.02871130e+00 
 4.30671707e+01  6.28678983e+01 -3.20331819e+00 
 4.55550561e+01  6.28662869e+01 -3.38794684e+00 
 4.81866605e+01  6.28644845e+01 -3.58316434e+00 
 5.09702863e+01  6.28624688e+01 -3.78956838e+00 
 5.39147154e+01  6.28602146e+01 -4.00778864e+00 
 5.70292370e+01  6.28576938e+01 -4.23848816e+00 
 6.03236769e+01  6.28548751e+01 -4.48236476e+00 
 6.38084285e+01  6.28517235e+01 -4.74015237e+00 
 6.74944857e+01  6.28481999e+01 -5.01262238e+00 
 7.13934775e+01  6.28442609e+01 -5.30058495e+00 
 7.55177045e+01  6.28398579e+01 -5.60489019e+00 
 7.98801781e+01  6.28349368e+01 -5.92642924e+00 
 8.44946611e+01  6.28294373e+01 -6.26613527e+00 
 8.93757115e+01  6.28232923e+01 -6.62498415e+00 
 9.45387283e+01  6.28164271e+01 -7.00399505e+00 
 1.00000000e+02  6.28087587e+01 -7.40423062e+00 
 1.05776756e+02  6.28001948e+01 -7.82679684e+00 
 1.11887221e+02  6.27906328e+01 -8.27284240e+00 
 1.18350673e+02  6.27799590e+01 -8.74355763e+00 
 1.25187503e+02  6.27680474e+01 -9.24017266e+00 
 1.32419279e+02  6.27547586e+01 -9.76395491e+00 
 1.40068818e+02  6.27399380e+01 -1.03162057e+01 
 1.48160252e+02  6.27234155e+01 -1.08982556e+01 
 1.56719108e+02  6.27050030e+01 -1.15114592e+01 
 1.65772389e+02  6.26844940e+01 -1.21571877e+01 
 1.75348655e+02  6.26616613e+01 -1.28368203e+01 
 1.85478119e+02  6.26362558e+01 -1.35517342e+01 
 1.96192737e+02  6.26080054e+01 -1.43032924e+01 
 2.07526313e+02  6.25766132e+01 -1.50928290e+01 
 2.19514602e+02  6.25417561e+01 -1.59216326e+01 
 2.32195425e+02  6.25030843e+01 -1.67909277e+01 
 2.45608788e+02  6.24602199e+01 -1.77018526e+01 
 2.59797009e+02  6.24127562e+01 -1.86554356e+01 
 2.74804848e+02  6.23602582e+01 -1.96525682e+01 
 2.90679654e+02  6.23022621e+01 -2.06939761e+01 
 3.07471508e+02  6.22382770e+01 -2.17801881e+01 
 3.25233387e+02  6.21677858e+01 -2.29115036e+01 
 3.44021326e+02  6.20902481e+01 -2.40879589e+01 
 3.63894599e+02  6.20051033e+01 -2.53092932e+01 
 3.84915902e+02  6.19117749e+01 -2.65749161e+01 
 4.07151555e+02  6.18096760e+01 -2.78838763e+01 
 4.30671707e+02  6.16982154e+01 -2.92348351e+01 
 4.55550561e+02  6.15768048e+01 -3.06260436e+01 
 4.81866605e+02  6.14448678e+01 -3.20553279e+01 
 5.09702863e+02  6.13018478e+01 -3.35200813e+01 
 5.39147154e+02  6.11472187e+01 -3.50172676e+01 
 5.70292370e+02  6.09804938e+01 -3.65434342e+01 
 6.03236769e+02  6.08012362e+01 -3.80947368e+01 
 6.38084285e+02  6.06090677e+01 -3.96669770e+01 
 6.74944857e+02  6.04036776e+01 -4.12556503e+01 
 7.13934775e+02  6.01848295e+01 -4.28560050e+01 
 7.55177045e+02  5.99523675e+01 -4.44631099e+01 
