 frequency       AmagdB          Aphdeg         
 1.00000000e+04  5.26456319e+01 -2.43119883e+00 
 1.02305973e+04  5.26452675e+01 -2.48719206e+00 
 1.04665121e+04  5.26448862e+01 -2.54447156e+00 
 1.07078670e+04  5.26444871e+01 -2.60306665e+00 
 1.09547876e+04  5.26440694e+01 -2.66300728e+00 
 1.12074020e+04  5.26436323e+01 -2.72432410e+00 
 1.14658417e+04  5.26431748e+01 -2.78704841e+00 
 1.17302409e+04  5.26426961e+01 -2.85121222e+00 
 1.20007371e+04  5.26421950e+01 -2.91684822e+00 
 1.22774708e+04  5.26416707e+01 -2.98398984e+00 
 1.25605860e+04  5.26411219e+01 -3.05267125e+00 
 1.28502297e+04  5.26405477e+01 -3.12292736e+00 
 1.31465525e+04  5.26399467e+01 -3.19479383e+00 
 1.34497085e+04  5.26393178e+01 -3.26830711e+00 
 1.37598551e+04  5.26386596e+01 -3.34350445e+00 
 1.40771537e+04  5.26379709e+01 -3.42042390e+00 
 1.44017690e+04  5.26372501e+01 -3.49910432e+00 
 1.47338699e+04  5.26364958e+01 -3.57958543e+00 
 1.50736290e+04  5.26357065e+01 -3.66190778e+00 
 1.54212228e+04  5.26348805e+01 -3.74611281e+00 
 1.57768320e+04  5.26340162e+01 -3.83224283e+00 
 1.61406415e+04  5.26331117e+01 -3.92034104e+00 
 1.65128404e+04  5.26321652e+01 -4.01045158e+00 
 1.68936220e+04  5.26311748e+01 -4.10261949e+00 
 1.72831844e+04  5.26301384e+01 -4.19689078e+00 
 1.76817299e+04  5.26290539e+01 -4.29331240e+00 
 1.80894658e+04  5.26279191e+01 -4.39193229e+00 
 1.85066040e+04  5.26267317e+01 -4.49279936e+00 
 1.89333613e+04  5.26254893e+01 -4.59596354e+00 
 1.93699595e+04  5.26241893e+01 -4.70147578e+00 
 1.98166255e+04  5.26228290e+01 -4.80938806e+00 
 2.02735916e+04  5.26214058e+01 -4.91975341e+00 
 2.07410951e+04  5.26199167e+01 -5.03262592e+00 
 2.12193792e+04  5.26183586e+01 -5.14806074e+00 
 2.17086923e+04  5.26167284e+01 -5.26611413e+00 
 2.22092889e+04  5.26150229e+01 -5.38684344e+00 
 2.27214291e+04  5.26132385e+01 -5.51030714e+00 
 2.32453791e+04  5.26113716e+01 -5.63656481e+00 
 2.37814113e+04  5.26094185e+01 -5.76567717e+00 
 2.43298042e+04  5.26073753e+01 -5.89770608e+00 
 2.48908429e+04  5.26052377e+01 -6.03271457e+00 
 2.54648190e+04  5.26030016e+01 -6.17076681e+00 
 2.60520309e+04  5.26006623e+01 -6.31192814e+00 
 2.66527837e+04  5.25982153e+01 -6.45626508e+00 
 2.72673897e+04  5.25956556e+01 -6.60384533e+00 
 2.78961683e+04  5.25929782e+01 -6.75473777e+00 
 2.85394464e+04  5.25901775e+01 -6.90901244e+00 
 2.91975583e+04  5.25872482e+01 -7.06674059e+00 
 2.98708461e+04  5.25841843e+01 -7.22799465e+00 
 3.05596598e+04  5.25809798e+01 -7.39284820e+00 
 3.12643573e+04  5.25776283e+01 -7.56137602e+00 
 3.19853049e+04  5.25741232e+01 -7.73365405e+00 
 3.27228774e+04  5.25704577e+01 -7.90975937e+00 
 3.34774581e+04  5.25666244e+01 -8.08977020e+00 
 3.42494392e+04  5.25626160e+01 -8.27376590e+00 
 3.50392221e+04  5.25584245e+01 -8.46182692e+00 
 3.58472171e+04  5.25540418e+01 -8.65403482e+00 
 3.66738442e+04  5.25494594e+01 -8.85047219e+00 
 3.75195331e+04  5.25446683e+01 -9.05122266e+00 
 3.83847234e+04  5.25396595e+01 -9.25637087e+00 
 3.92698648e+04  5.25344231e+01 -9.46600241e+00 
 4.01754173e+04  5.25289492e+01 -9.68020380e+00 
 4.11018515e+04  5.25232273e+01 -9.89906242e+00 
 4.20496491e+04  5.25172466e+01 -1.01226665e+01 
 4.30193027e+04  5.25109956e+01 -1.03511050e+01 
 4.40113162e+04  5.25044627e+01 -1.05844676e+01 
 4.50262052e+04  5.24976355e+01 -1.08228447e+01 
 4.60644974e+04  5.24905013e+01 -1.10663272e+01 
 4.71267322e+04  5.24830468e+01 -1.13150064e+01 
 4.82134619e+04  5.24752582e+01 -1.15689741e+01 
 4.93252513e+04  5.24671212e+01 -1.18283225e+01 
 5.04626783e+04  5.24586208e+01 -1.20931438e+01 
 5.16263340e+04  5.24497418e+01 -1.23635305e+01 
 5.28168234e+04  5.24404679e+01 -1.26395748e+01 
 5.40347650e+04  5.24307825e+01 -1.29213691e+01 
 5.52807921e+04  5.24206684e+01 -1.32090053e+01 
 5.65555523e+04  5.24101076e+01 -1.35025749e+01 
 5.78597080e+04  5.23990816e+01 -1.38021690e+01 
 5.91939372e+04  5.23875711e+01 -1.41078776e+01 
 6.05589334e+04  5.23755562e+01 -1.44197901e+01 
 6.19554061e+04  5.23630163e+01 -1.47379947e+01 
 6.33840810e+04  5.23499300e+01 -1.50625782e+01 
 6.48457008e+04  5.23362754e+01 -1.53936262e+01 
 6.63410251e+04  5.23220296e+01 -1.57312222e+01 
 6.78708313e+04  5.23071691e+01 -1.60754481e+01 
 6.94359143e+04  5.22916697e+01 -1.64263833e+01 
 7.10370877e+04  5.22755061e+01 -1.67841051e+01 
 7.26751838e+04  5.22586527e+01 -1.71486878e+01 
 7.43510539e+04  5.22410829e+01 -1.75202029e+01 
 7.60655691e+04  5.22227692e+01 -1.78987185e+01 
 7.78196206e+04  5.22036835e+01 -1.82842994e+01 
 7.96141200e+04  5.21837969e+01 -1.86770063e+01 
 8.14500001e+04  5.21630796e+01 -1.90768958e+01 
 8.33282151e+04  5.21415012e+01 -1.94840199e+01 
 8.52497412e+04  5.21190304e+01 -1.98984260e+01 
 8.72155772e+04  5.20956351e+01 -2.03201561e+01 
 8.92267449e+04  5.20712826e+01 -2.07492467e+01 
 9.12842895e+04  5.20459395e+01 -2.11857284e+01 
 9.33892805e+04  5.20195716e+01 -2.16296255e+01 
 9.55428121e+04  5.19921440e+01 -2.20809557e+01 
 9.77460036e+04  5.19636211e+01 -2.25397297e+01 
 1.00000000e+05  5.19339670e+01 -2.30059509e+01 
 1.02305973e+05  5.19031448e+01 -2.34796146e+01 
 1.04665121e+05  5.18711172e+01 -2.39607083e+01 
 1.07078670e+05  5.18378467e+01 -2.44492109e+01 
 1.09547876e+05  5.18032948e+01 -2.49450924e+01 
 1.12074020e+05  5.17674232e+01 -2.54483136e+01 
 1.14658417e+05  5.17301927e+01 -2.59588257e+01 
 1.17302409e+05  5.16915642e+01 -2.64765701e+01 
 1.20007371e+05  5.16514984e+01 -2.70014779e+01 
 1.22774708e+05  5.16099555e+01 -2.75334697e+01 
 1.25605860e+05  5.15668962e+01 -2.80724555e+01 
 1.28502297e+05  5.15222806e+01 -2.86183341e+01 
 1.31465525e+05  5.14760695e+01 -2.91709932e+01 
 1.34497085e+05  5.14282236e+01 -2.97303090e+01 
 1.37598551e+05  5.13787038e+01 -3.02961463e+01 
 1.40771537e+05  5.13274716e+01 -3.08683580e+01 
 1.44017690e+05  5.12744888e+01 -3.14467854e+01 
 1.47338699e+05  5.12197181e+01 -3.20312579e+01 
 1.50736290e+05  5.11631227e+01 -3.26215932e+01 
 1.54212228e+05  5.11046664e+01 -3.32175974e+01 
 1.57768320e+05  5.10443143e+01 -3.38190648e+01 
 1.61406415e+05  5.09820323e+01 -3.44257783e+01 
 1.65128404e+05  5.09177876e+01 -3.50375095e+01 
 1.68936220e+05  5.08515484e+01 -3.56540193e+01 
 1.72831844e+05  5.07832843e+01 -3.62750575e+01 
 1.76817299e+05  5.07129667e+01 -3.69003641e+01 
 1.80894658e+05  5.06405680e+01 -3.75296687e+01 
 1.85066040e+05  5.05660628e+01 -3.81626919e+01 
 1.89333613e+05  5.04894270e+01 -3.87991454e+01 
 1.93699595e+05  5.04106387e+01 -3.94387324e+01 
 1.98166255e+05  5.03296777e+01 -4.00811485e+01 
 2.02735916e+05  5.02465258e+01 -4.07260825e+01 
 2.07410951e+05  5.01611670e+01 -4.13732166e+01 
 2.12193792e+05  5.00735874e+01 -4.20222277e+01 
 2.17086923e+05  4.99837753e+01 -4.26727879e+01 
 2.22092889e+05  4.98917212e+01 -4.33245652e+01 
 2.27214291e+05  4.97974179e+01 -4.39772246e+01 
 2.32453791e+05  4.97008606e+01 -4.46304290e+01 
 2.37814113e+05  4.96020466e+01 -4.52838395e+01 
 2.43298042e+05  4.95009758e+01 -4.59371171e+01 
 2.48908429e+05  4.93976503e+01 -4.65899230e+01 
 2.54648190e+05  4.92920747e+01 -4.72419195e+01 
 2.60520309e+05  4.91842556e+01 -4.78927713e+01 
 2.66527837e+05  4.90742022e+01 -4.85421458e+01 
 2.72673897e+05  4.89619258e+01 -4.91897145e+01 
 2.78961683e+05  4.88474399e+01 -4.98351532e+01 
 2.85394464e+05  4.87307602e+01 -5.04781435e+01 
 2.91975583e+05  4.86119046e+01 -5.11183728e+01 
