 frequency       HctmagdB        HscmagdB       
 2.55858589e+01 -2.84211861e-03 -3.02063145e-03 
 2.58226019e+01 -2.89493993e-03 -3.07676928e-03 
 2.60615355e+01 -2.94874261e-03 -3.13395004e-03 
 2.63026799e+01 -3.00354488e-03 -3.19219310e-03 
 2.65460556e+01 -3.05936528e-03 -3.25151818e-03 
 2.67916832e+01 -3.11622273e-03 -3.31194536e-03 
 2.70395836e+01 -3.17413647e-03 -3.37349509e-03 
 2.72897778e+01 -3.23312611e-03 -3.43618823e-03 
 2.75422870e+01 -3.29321163e-03 -3.50004599e-03 
 2.77971327e+01 -3.35441337e-03 -3.56508998e-03 
 2.80543364e+01 -3.41675204e-03 -3.63134224e-03 
 2.83139200e+01 -3.48024876e-03 -3.69882517e-03 
 2.85759054e+01 -3.54492501e-03 -3.76756162e-03 
 2.88403150e+01 -3.61080270e-03 -3.83757487e-03 
 2.91071712e+01 -3.67790412e-03 -3.90888859e-03 
 2.93764965e+01 -3.74625198e-03 -3.98152694e-03 
 2.96483139e+01 -3.81586941e-03 -4.05551448e-03 
 2.99226464e+01 -3.88677999e-03 -4.13087625e-03 
 3.01995172e+01 -3.95900770e-03 -4.20763776e-03 
 3.04789499e+01 -4.03257698e-03 -4.28582498e-03 
 3.07609681e+01 -4.10751274e-03 -4.36546435e-03 
 3.10455959e+01 -4.18384033e-03 -4.44658284e-03 
 3.13328572e+01 -4.26158558e-03 -4.52920786e-03 
 3.16227766e+01 -4.34077479e-03 -4.61336739e-03 
 3.19153786e+01 -4.42143476e-03 -4.69908988e-03 
 3.22106879e+01 -4.50359276e-03 -4.78640433e-03 
 3.25087297e+01 -4.58727660e-03 -4.87534027e-03 
 3.28095293e+01 -4.67251457e-03 -4.96592778e-03 
 3.31131121e+01 -4.75933552e-03 -5.05819749e-03 
 3.34195040e+01 -4.84776881e-03 -5.15218061e-03 
 3.37287309e+01 -4.93784435e-03 -5.24790892e-03 
 3.40408190e+01 -5.02959259e-03 -5.34541477e-03 
 3.43557948e+01 -5.12304457e-03 -5.44473114e-03 
 3.46736850e+01 -5.21823188e-03 -5.54589161e-03 
 3.49945167e+01 -5.31518671e-03 -5.64893036e-03 
 3.53183170e+01 -5.41394184e-03 -5.75388224e-03 
 3.56451133e+01 -5.51453066e-03 -5.86078270e-03 
 3.59749335e+01 -5.61698717e-03 -5.96966789e-03 
 3.63078055e+01 -5.72134600e-03 -6.08057459e-03 
 3.66437575e+01 -5.82764243e-03 -6.19354029e-03 
 3.69828180e+01 -5.93591238e-03 -6.30860316e-03 
 3.73250158e+01 -6.04619245e-03 -6.42580207e-03 
 3.76703799e+01 -6.15851990e-03 -6.54517662e-03 
