 frequency       HctmagdB        HscmagdB       
 1.02111081e+04 -2.02229113e+01 -2.03369895e+01 
 1.03112072e+04 -2.03068469e+01 -2.04180169e+01 
 1.04113063e+04 -2.03899866e+01 -2.04982180e+01 
 1.05114054e+04 -2.04723453e+01 -2.05776075e+01 
 1.06115045e+04 -2.05539373e+01 -2.06561998e+01 
 1.07116036e+04 -2.06347767e+01 -2.07340090e+01 
 1.08117027e+04 -2.07148771e+01 -2.08110488e+01 
 1.09118018e+04 -2.07942517e+01 -2.08873324e+01 
 1.10119009e+04 -2.08729136e+01 -2.09628729e+01 
 1.11120000e+04 -2.09508752e+01 -2.10376828e+01 
 1.12120991e+04 -2.10281489e+01 -2.11117744e+01 
 1.13121982e+04 -2.11047465e+01 -2.11851597e+01 
 1.14122973e+04 -2.11806797e+01 -2.12578503e+01 
 1.15123964e+04 -2.12559599e+01 -2.13298575e+01 
 1.16124955e+04 -2.13305981e+01 -2.14011925e+01 
 1.17125946e+04 -2.14046050e+01 -2.14718660e+01 
 1.18126937e+04 -2.14779912e+01 -2.15418886e+01 
 1.19127928e+04 -2.15507670e+01 -2.16112704e+01 
 1.20128919e+04 -2.16229422e+01 -2.16800217e+01 
 1.21129910e+04 -2.16945268e+01 -2.17481520e+01 
 1.22130901e+04 -2.17655301e+01 -2.18156709e+01 
 1.23131892e+04 -2.18359616e+01 -2.18825878e+01 
 1.24132883e+04 -2.19058303e+01 -2.19489117e+01 
 1.25133874e+04 -2.19751450e+01 -2.20146515e+01 
 1.26134865e+04 -2.20439144e+01 -2.20798159e+01 
 1.27135856e+04 -2.21121470e+01 -2.21444133e+01 
 1.28136847e+04 -2.21798511e+01 -2.22084520e+01 
 1.29137838e+04 -2.22470346e+01 -2.22719400e+01 
 1.30138829e+04 -2.23137056e+01 -2.23348853e+01 
 1.31139820e+04 -2.23798716e+01 -2.23972956e+01 
 1.32140811e+04 -2.24455404e+01 -2.24591784e+01 
 1.33141802e+04 -2.25107192e+01 -2.25205411e+01 
 1.34142793e+04 -2.25754152e+01 -2.25813910e+01 
 1.35143784e+04 -2.26396355e+01 -2.26417350e+01 
 1.36144775e+04 -2.27033871e+01 -2.27015801e+01 
 1.37145766e+04 -2.27666767e+01 -2.27609330e+01 
 1.38146757e+04 -2.28295108e+01 -2.28198003e+01 
 1.39147748e+04 -2.28918960e+01 -2.28781886e+01 
 1.40148739e+04 -2.29538387e+01 -2.29361041e+01 
 1.41149730e+04 -2.30153449e+01 -2.29935530e+01 
