 frequency       Hph1magdB       Hph2magdB      
 1.04712855e+02 -4.90122909e-02 -4.90122909e-02 
 1.07151931e+02 -5.13004835e-02 -5.13004835e-02 
 1.09647820e+02 -5.36952236e-02 -5.36952236e-02 
 1.12201845e+02 -5.62014096e-02 -5.62014096e-02 
 1.14815362e+02 -5.88241592e-02 -5.88241592e-02 
 1.17489755e+02 -6.15688182e-02 -6.15688182e-02 
 1.20226443e+02 -6.44409708e-02 -6.44409708e-02 
 1.23026877e+02 -6.74464491e-02 -6.74464491e-02 
 1.25892541e+02 -7.05913431e-02 -7.05913431e-02 
 1.28824955e+02 -7.38820120e-02 -7.38820120e-02 
 1.31825674e+02 -7.73250946e-02 -7.73250946e-02 
 1.34896288e+02 -8.09275209e-02 -8.09275209e-02 
 1.38038426e+02 -8.46965239e-02 -8.46965239e-02 
 1.41253754e+02 -8.86396512e-02 -8.86396512e-02 
 1.44543977e+02 -9.27647783e-02 -9.27647783e-02 
 1.47910839e+02 -9.70801204e-02 -9.70801204e-02 
 1.51356125e+02 -1.01594246e-01 -1.01594246e-01 
 1.54881662e+02 -1.06316092e-01 -1.06316092e-01 
 1.58489319e+02 -1.11254975e-01 -1.11254975e-01 
 1.62181010e+02 -1.16420606e-01 -1.16420606e-01 
 1.65958691e+02 -1.21823107e-01 -1.21823107e-01 
 1.69824365e+02 -1.27473026e-01 -1.27473026e-01 
 1.73780083e+02 -1.33381348e-01 -1.33381348e-01 
 1.77827941e+02 -1.39559516e-01 -1.39559516e-01 
 1.81970086e+02 -1.46019445e-01 -1.46019445e-01 
 1.86208714e+02 -1.52773536e-01 -1.52773536e-01 
 1.90546072e+02 -1.59834695e-01 -1.59834695e-01 
 1.94984460e+02 -1.67216351e-01 -1.67216351e-01 
 1.99526231e+02 -1.74932466e-01 -1.74932466e-01 
 2.04173794e+02 -1.82997563e-01 -1.82997563e-01 
 2.08929613e+02 -1.91426730e-01 -1.91426730e-01 
 2.13796209e+02 -2.00235650e-01 -2.00235650e-01 
 2.18776162e+02 -2.09440607e-01 -2.09440607e-01 
 2.23872114e+02 -2.19058512e-01 -2.19058512e-01 
 2.29086765e+02 -2.29106914e-01 -2.29106914e-01 
 2.34422882e+02 -2.39604019e-01 -2.39604019e-01 
 2.39883292e+02 -2.50568706e-01 -2.50568706e-01 
 2.45470892e+02 -2.62020545e-01 -2.62020545e-01 
 2.51188643e+02 -2.73979809e-01 -2.73979809e-01 
 2.57039578e+02 -2.86467493e-01 -2.86467493e-01 
 2.63026799e+02 -2.99505325e-01 -2.99505325e-01 
 2.69153480e+02 -3.13115783e-01 -3.13115783e-01 
 2.75422870e+02 -3.27322104e-01 -3.27322104e-01 
 2.81838293e+02 -3.42148300e-01 -3.42148300e-01 
 2.88403150e+02 -3.57619166e-01 -3.57619166e-01 
 2.95120923e+02 -3.73760288e-01 -3.73760288e-01 
 3.01995172e+02 -3.90598054e-01 -3.90598054e-01 
 3.09029543e+02 -4.08159657e-01 -4.08159657e-01 
 3.16227766e+02 -4.26473104e-01 -4.26473104e-01 
 3.23593657e+02 -4.45567210e-01 -4.45567210e-01 
 3.31131121e+02 -4.65471608e-01 -4.65471608e-01 
 3.38844156e+02 -4.86216739e-01 -4.86216739e-01 
 3.46736850e+02 -5.07833850e-01 -5.07833850e-01 
 3.54813389e+02 -5.30354986e-01 -5.30354986e-01 
 3.63078055e+02 -5.53812981e-01 -5.53812981e-01 
 3.71535229e+02 -5.78241441e-01 -5.78241441e-01 
 3.80189396e+02 -6.03674729e-01 -6.03674729e-01 
 3.89045145e+02 -6.30147941e-01 -6.30147941e-01 
 3.98107171e+02 -6.57696887e-01 -6.57696887e-01 
 4.07380278e+02 -6.86358056e-01 -6.86358056e-01 
 4.16869383e+02 -7.16168586e-01 -7.16168586e-01 
 4.26579519e+02 -7.47166228e-01 -7.47166228e-01 
 4.36515832e+02 -7.79389300e-01 -7.79389300e-01 
 4.46683592e+02 -8.12876645e-01 -8.12876645e-01 
 4.57088190e+02 -8.47667577e-01 -8.47667577e-01 
 4.67735141e+02 -8.83801825e-01 -8.83801825e-01 
 4.78630092e+02 -9.21319474e-01 -9.21319474e-01 
 4.89778819e+02 -9.60260895e-01 -9.60260895e-01 
 5.01187234e+02 -1.00066668e+00 -1.00066668e+00 
