 frequency       Hph1magdB       Hph2magdB      
 1.04712855e+04 -1.01914702e+00 -1.01914702e+00 
 1.07151931e+04 -1.01014556e+00 -1.01014556e+00 
 1.09647820e+04 -9.97313592e-01 -9.97313592e-01 
 1.12201845e+04 -9.80351691e-01 -9.80351691e-01 
 1.14815362e+04 -9.58960037e-01 -9.58960037e-01 
 1.17489755e+04 -9.32844564e-01 -9.32844564e-01 
 1.20226443e+04 -9.01725294e-01 -9.01725294e-01 
 1.23026877e+04 -8.65347563e-01 -8.65347563e-01 
 1.25892541e+04 -8.23497049e-01 -8.23497049e-01 
 1.28824955e+04 -7.76019725e-01 -7.76019725e-01 
 1.31825674e+04 -7.22848237e-01 -7.22848237e-01 
 1.34896288e+04 -6.64036521e-01 -6.64036521e-01 
 1.38038426e+04 -5.99804978e-01 -5.99804978e-01 
 1.41253754e+04 -5.30598876e-01 -5.30598876e-01 
 1.44543977e+04 -4.57163099e-01 -4.57163099e-01 
 1.47910839e+04 -3.80636393e-01 -3.80636393e-01 
 1.51356125e+04 -3.02667843e-01 -3.02667843e-01 
 1.54881662e+04 -2.25556717e-01 -2.25556717e-01 
 1.58489319e+04 -1.52413357e-01 -1.52413357e-01 
 1.62181010e+04 -8.73322847e-02 -8.73322847e-02 
 1.65958691e+04 -3.55581058e-02 -3.55581058e-02 
 1.69824365e+04 -3.60929112e-03 -3.60929112e-03 
 1.73780083e+04  6.93989626e-04  6.93989626e-04 
 1.77827941e+04 -3.16309310e-02 -3.16309310e-02 
 1.81970086e+04 -1.10347663e-01 -1.10347663e-01 
 1.86208714e+04 -2.45326651e-01 -2.45326651e-01 
 1.90546072e+04 -4.45596692e-01 -4.45596692e-01 
 1.94984460e+04 -7.18247224e-01 -7.18247224e-01 
 1.99526231e+04 -1.06741408e+00 -1.06741408e+00 
 2.04173794e+04 -1.49362440e+00 -1.49362440e+00 
 2.08929613e+04 -1.99370411e+00 -1.99370411e+00 
 2.13796209e+04 -2.56127826e+00 -2.56127826e+00 
 2.18776162e+04 -3.18770511e+00 -3.18770511e+00 
 2.23872114e+04 -3.86317718e+00 -3.86317718e+00 
 2.29086765e+04 -4.57773355e+00 -4.57773355e+00 
 2.34422882e+04 -5.32202322e+00 -5.32202322e+00 
 2.39883292e+04 -6.08777211e+00 -6.08777211e+00 
 2.45470892e+04 -6.86798802e+00 -6.86798802e+00 
 2.51188643e+04 -7.65697538e+00 -7.65697538e+00 
 2.57039578e+04 -8.45023394e+00 -8.45023394e+00 
 2.63026799e+04 -9.24430129e+00 -9.24430129e+00 
 2.69153480e+04 -1.00365794e+01 -1.00365794e+01 
 2.75422870e+04 -1.08251686e+01 -1.08251686e+01 
 2.81838293e+04 -1.16087217e+01 -1.16087217e+01 
 2.88403150e+04 -1.23863198e+01 -1.23863198e+01 
 2.95120923e+04 -1.31573721e+01 -1.31573721e+01 
 3.01995172e+04 -1.39215358e+01 -1.39215358e+01 
 3.09029543e+04 -1.46786528e+01 -1.46786528e+01 
 3.16227766e+04 -1.54287016e+01 -1.54287016e+01 
 3.23593657e+04 -1.61717590e+01 -1.61717590e+01 
 3.31131121e+04 -1.69079723e+01 -1.69079723e+01 
 3.38844156e+04 -1.76375373e+01 -1.76375373e+01 
 3.46736850e+04 -1.83606821e+01 -1.83606821e+01 
 3.54813389e+04 -1.90776546e+01 -1.90776546e+01 
 3.63078055e+04 -1.97887140e+01 -1.97887140e+01 
 3.71535229e+04 -2.04941236e+01 -2.04941236e+01 
 3.80189396e+04 -2.11941460e+01 -2.11941460e+01 
 3.89045145e+04 -2.18890399e+01 -2.18890399e+01 
 3.98107171e+04 -2.25790575e+01 -2.25790575e+01 
 4.07380278e+04 -2.32644425e+01 -2.32644425e+01 
