 frequency       Hph1magdB       Hph2magdB      
 1.23026877e+04  6.10510296e+00  6.10510296e+00 
 1.25892541e+04  5.97893260e+00  5.97893260e+00 
 1.28824955e+04  5.81713250e+00  5.81713250e+00 
 1.31825674e+04  5.61543734e+00  5.61543734e+00 
 1.34896288e+04  5.37013040e+00  5.37013040e+00 
 1.38038426e+04  5.07833708e+00  5.07833708e+00 
 1.41253754e+04  4.73827601e+00  4.73827601e+00 
 1.44543977e+04  4.34942365e+00  4.34942365e+00 
 1.47910839e+04  3.91256097e+00  3.91256097e+00 
 1.51356125e+04  3.42969276e+00  3.42969276e+00 
 1.54881662e+04  2.90385557e+00  2.90385557e+00 
 1.58489319e+04  2.33885005e+00  2.33885005e+00 
 1.62181010e+04  1.73894293e+00  1.73894293e+00 
 1.65958691e+04  1.10858073e+00  1.10858073e+00 
 1.69824365e+04  4.52146071e-01  4.52146071e-01 
 1.73780083e+04 -2.26227313e-01 -2.26227313e-01 
 1.77827941e+04 -9.22777818e-01 -9.22777818e-01 
 1.81970086e+04 -1.63418386e+00 -1.63418386e+00 
 1.86208714e+04 -2.35758749e+00 -2.35758749e+00 
 1.90546072e+04 -3.09058623e+00 -3.09058623e+00 
 1.94984460e+04 -3.83120427e+00 -3.83120427e+00 
 1.99526231e+04 -4.57785230e+00 -4.57785230e+00 
 2.04173794e+04 -5.32928276e+00 -5.32928276e+00 
 2.08929613e+04 -6.08454484e+00 -6.08454484e+00 
 2.13796209e+04 -6.84294235e+00 -6.84294235e+00 
 2.18776162e+04 -7.60399574e+00 -7.60399574e+00 
 2.23872114e+04 -8.36740910e+00 -8.36740910e+00 
 2.29086765e+04 -9.13304207e+00 -9.13304207e+00 
 2.34422882e+04 -9.90088670e+00 -9.90088670e+00 
 2.39883292e+04 -1.06710485e+01 -1.06710485e+01 
 2.45470892e+04 -1.14437315e+01 -1.14437315e+01 
 2.51188643e+04 -1.22192272e+01 -1.22192272e+01 
 2.57039578e+04 -1.29979056e+01 -1.29979056e+01 
 2.63026799e+04 -1.37802102e+01 -1.37802102e+01 
 2.69153480e+04 -1.45666547e+01 -1.45666547e+01 
 2.75422870e+04 -1.53578223e+01 -1.53578223e+01 
 2.81838293e+04 -1.61543671e+01 -1.61543671e+01 
 2.88403150e+04 -1.69570175e+01 -1.69570175e+01 
 2.95120923e+04 -1.77665819e+01 -1.77665819e+01 
 3.01995172e+04 -1.85839574e+01 -1.85839574e+01 
 3.09029543e+04 -1.94101399e+01 -1.94101399e+01 
 3.16227766e+04 -2.02462381e+01 -2.02462381e+01 
 3.23593657e+04 -2.10934913e+01 -2.10934913e+01 
 3.31131121e+04 -2.19532906e+01 -2.19532906e+01 
 3.38844156e+04 -2.28272068e+01 -2.28272068e+01 
 3.46736850e+04 -2.37170246e+01 -2.37170246e+01 
 3.54813389e+04 -2.46247856e+01 -2.46247856e+01 
 3.63078055e+04 -2.55528437e+01 -2.55528437e+01 
 3.71535229e+04 -2.65039362e+01 -2.65039362e+01 
 3.80189396e+04 -2.74812758e+01 -2.74812758e+01 
 3.89045145e+04 -2.84886724e+01 -2.84886724e+01 
 3.98107171e+04 -2.95306969e+01 -2.95306969e+01 
 4.07380278e+04 -3.06129037e+01 -3.06129037e+01 
 4.16869383e+04 -3.17421423e+01 -3.17421423e+01 
 4.26579519e+04 -3.29270016e+01 -3.29270016e+01 
 4.36515832e+04 -3.41784619e+01 -3.41784619e+01 
 4.46683592e+04 -3.55108849e+01 -3.55108849e+01 
 4.57088190e+04 -3.69435736e+01 -3.69435736e+01 
 4.67735141e+04 -3.85033501e+01 -3.85033501e+01 
 4.78630092e+04 -4.02290696e+01 -4.02290696e+01 
 4.89778819e+04 -4.21801261e+01 -4.21801261e+01 
 5.01187234e+04 -4.44541209e+01 -4.44541209e+01 
 5.12861384e+04 -4.72288781e+01 -4.72288781e+01 
 5.24807460e+04 -5.08850070e+01 -5.08850070e+01 
 5.37031796e+04 -5.65183430e+01 -5.65183430e+01 
 5.49540874e+04 -7.19721408e+01 -7.19721408e+01 
 5.62341325e+04 -6.11437463e+01 -6.11437463e+01 
 5.75439937e+04 -5.44185904e+01 -5.44185904e+01 
 5.88843655e+04 -5.09634753e+01 -5.09634753e+01 
 6.02559586e+04 -4.87052483e+01 -4.87052483e+01 
 6.16595002e+04 -4.70734264e+01 -4.70734264e+01 
 6.30957344e+04 -4.58274132e+01 -4.58274132e+01 
 6.45654229e+04 -4.48428309e+01 -4.48428309e+01 
 6.60693448e+04 -4.40469561e+01 -4.40469561e+01 
