 frequency       Hph1magdB       Hph2magdB      
 1.17489755e+04 -4.08864160e-01 -4.08864160e-01 
 1.20226443e+04 -4.52300410e-01 -4.52300410e-01 
 1.23026877e+04 -4.99710279e-01 -4.99710279e-01 
 1.25892541e+04 -5.51392707e-01 -5.51392707e-01 
 1.28824955e+04 -6.07659407e-01 -6.07659407e-01 
 1.31825674e+04 -6.68833752e-01 -6.68833752e-01 
 1.34896288e+04 -7.35249334e-01 -7.35249334e-01 
 1.38038426e+04 -8.07248180e-01 -8.07248180e-01 
 1.41253754e+04 -8.85178595e-01 -8.85178595e-01 
 1.44543977e+04 -9.69392635e-01 -9.69392635e-01 
 1.47910839e+04 -1.06024321e+00 -1.06024321e+00 
 1.51356125e+04 -1.15808085e+00 -1.15808085e+00 
 1.54881662e+04 -1.26325011e+00 -1.26325011e+00 
 1.58489319e+04 -1.37608577e+00 -1.37608577e+00 
 1.62181010e+04 -1.49690878e+00 -1.49690878e+00 
 1.65958691e+04 -1.62602210e+00 -1.62602210e+00 
 1.69824365e+04 -1.76370649e+00 -1.76370649e+00 
 1.73780083e+04 -1.91021644e+00 -1.91021644e+00 
 1.77827941e+04 -2.06577623e+00 -2.06577623e+00 
 1.81970086e+04 -2.23057634e+00 -2.23057634e+00 
 1.86208714e+04 -2.40477027e+00 -2.40477027e+00 
 1.90546072e+04 -2.58847196e+00 -2.58847196e+00 
 1.94984460e+04 -2.78175376e+00 -2.78175376e+00 
 1.99526231e+04 -2.98464515e+00 -2.98464515e+00 
 2.04173794e+04 -3.19713225e+00 -3.19713225e+00 
 2.08929613e+04 -3.41915799e+00 -3.41915799e+00 
 2.13796209e+04 -3.65062318e+00 -3.65062318e+00 
 2.18776162e+04 -3.89138823e+00 -3.89138823e+00 
 2.23872114e+04 -4.14127551e+00 -4.14127551e+00 
 2.29086765e+04 -4.40007239e+00 -4.40007239e+00 
 2.34422882e+04 -4.66753461e+00 -4.66753461e+00 
 2.39883292e+04 -4.94339014e+00 -4.94339014e+00 
 2.45470892e+04 -5.22734323e+00 -5.22734323e+00 
 2.51188643e+04 -5.51907853e+00 -5.51907853e+00 
 2.57039578e+04 -5.81826536e+00 -5.81826536e+00 
 2.63026799e+04 -6.12456170e+00 -6.12456170e+00 
 2.69153480e+04 -6.43761820e+00 -6.43761820e+00 
 2.75422870e+04 -6.75708180e+00 -6.75708180e+00 
 2.81838293e+04 -7.08259911e+00 -7.08259911e+00 
 2.88403150e+04 -7.41381944e+00 -7.41381944e+00 
 2.95120923e+04 -7.75039746e+00 -7.75039746e+00 
 3.01995172e+04 -8.09199550e+00 -8.09199550e+00 
 3.09029543e+04 -8.43828547e+00 -8.43828547e+00 
 3.16227766e+04 -8.78895039e+00 -8.78895039e+00 
 3.23593657e+04 -9.14368568e+00 -9.14368568e+00 
 3.31131121e+04 -9.50220004e+00 -9.50220004e+00 
 3.38844156e+04 -9.86421610e+00 -9.86421610e+00 
 3.46736850e+04 -1.02294708e+01 -1.02294708e+01 
 3.54813389e+04 -1.05977155e+01 -1.05977155e+01 
 3.63078055e+04 -1.09687162e+01 -1.09687162e+01 
 3.71535229e+04 -1.13422530e+01 -1.13422530e+01 
 3.80189396e+04 -1.17181202e+01 -1.17181202e+01 
 3.89045145e+04 -1.20961254e+01 -1.20961254e+01 
 3.98107171e+04 -1.24760897e+01 -1.24760897e+01 
 4.07380278e+04 -1.28578464e+01 -1.28578464e+01 
 4.16869383e+04 -1.32412409e+01 -1.32412409e+01 
 4.26579519e+04 -1.36261302e+01 -1.36261302e+01 
 4.36515832e+04 -1.40123816e+01 -1.40123816e+01 
 4.46683592e+04 -1.43998728e+01 -1.43998728e+01 
 4.57088190e+04 -1.47884910e+01 -1.47884910e+01 
 4.67735141e+04 -1.51781321e+01 -1.51781321e+01 
 4.78630092e+04 -1.55687002e+01 -1.55687002e+01 
 4.89778819e+04 -1.59601074e+01 -1.59601074e+01 
 5.01187234e+04 -1.63522725e+01 -1.63522725e+01 
 5.12861384e+04 -1.67451212e+01 -1.67451212e+01 
 5.24807460e+04 -1.71385851e+01 -1.71385851e+01 
 5.37031796e+04 -1.75326016e+01 -1.75326016e+01 
 5.49540874e+04 -1.79271131e+01 -1.79271131e+01 
 5.62341325e+04 -1.83220668e+01 -1.83220668e+01 
 5.75439937e+04 -1.87174143e+01 -1.87174143e+01 
 5.88843655e+04 -1.91131111e+01 -1.91131111e+01 
 6.02559586e+04 -1.95091163e+01 -1.95091163e+01 
 6.16595002e+04 -1.99053926e+01 -1.99053926e+01 
 6.30957344e+04 -2.03019053e+01 -2.03019053e+01 
 6.45654229e+04 -2.06986229e+01 -2.06986229e+01 
 6.60693448e+04 -2.10955162e+01 -2.10955162e+01 
 6.76082975e+04 -2.14925582e+01 -2.14925582e+01 
 6.91830971e+04 -2.18897240e+01 -2.18897240e+01 
 7.07945784e+04 -2.22869908e+01 -2.22869908e+01 
 7.24435960e+04 -2.26843372e+01 -2.26843372e+01 
 7.41310241e+04 -2.30817434e+01 -2.30817434e+01 
 7.58577575e+04 -2.34791910e+01 -2.34791910e+01 
 7.76247117e+04 -2.38766627e+01 -2.38766627e+01 
 7.94328235e+04 -2.42741424e+01 -2.42741424e+01 
 8.12830516e+04 -2.46716149e+01 -2.46716149e+01 
 8.31763771e+04 -2.50690659e+01 -2.50690659e+01 
 8.51138038e+04 -2.54664817e+01 -2.54664817e+01 
 8.70963590e+04 -2.58638493e+01 -2.58638493e+01 
 8.91250938e+04 -2.62611563e+01 -2.62611563e+01 
 9.12010839e+04 -2.66583908e+01 -2.66583908e+01 
 9.33254301e+04 -2.70555412e+01 -2.70555412e+01 
 9.54992586e+04 -2.74525963e+01 -2.74525963e+01 
 9.77237221e+04 -2.78495450e+01 -2.78495450e+01 
 1.00000000e+05 -2.82463766e+01 -2.82463766e+01 
 1.02329299e+05 -2.86430803e+01 -2.86430803e+01 
 1.04712855e+05 -2.90396455e+01 -2.90396455e+01 
 1.07151931e+05 -2.94360617e+01 -2.94360617e+01 
 1.09647820e+05 -2.98323182e+01 -2.98323182e+01 
 1.12201845e+05 -3.02284043e+01 -3.02284043e+01 
 1.14815362e+05 -3.06243092e+01 -3.06243092e+01 
 1.17489755e+05 -3.10200219e+01 -3.10200219e+01 
 1.20226443e+05 -3.14155310e+01 -3.14155310e+01 
 1.23026877e+05 -3.18108253e+01 -3.18108253e+01 
 1.25892541e+05 -3.22058929e+01 -3.22058929e+01 
 1.28824955e+05 -3.26007216e+01 -3.26007216e+01 
 1.31825674e+05 -3.29952991e+01 -3.29952991e+01 
 1.34896288e+05 -3.33896123e+01 -3.33896123e+01 
 1.38038426e+05 -3.37836480e+01 -3.37836480e+01 
 1.41253754e+05 -3.41773922e+01 -3.41773922e+01 
 1.44543977e+05 -3.45708307e+01 -3.45708307e+01 
 1.47910839e+05 -3.49639484e+01 -3.49639484e+01 
 1.51356125e+05 -3.53567297e+01 -3.53567297e+01 
 1.54881662e+05 -3.57491585e+01 -3.57491585e+01 
 1.58489319e+05 -3.61412177e+01 -3.61412177e+01 
 1.62181010e+05 -3.65328897e+01 -3.65328897e+01 
 1.65958691e+05 -3.69241561e+01 -3.69241561e+01 
 1.69824365e+05 -3.73149975e+01 -3.73149975e+01 
 1.73780083e+05 -3.77053938e+01 -3.77053938e+01 
 1.77827941e+05 -3.80953239e+01 -3.80953239e+01 
 1.81970086e+05 -3.84847656e+01 -3.84847656e+01 
 1.86208714e+05 -3.88736959e+01 -3.88736959e+01 
 1.90546072e+05 -3.92620905e+01 -3.92620905e+01 
 1.94984460e+05 -3.96499241e+01 -3.96499241e+01 
 1.99526231e+05 -4.00371701e+01 -4.00371701e+01 
 2.04173794e+05 -4.04238007e+01 -4.04238007e+01 
 2.08929613e+05 -4.08097867e+01 -4.08097867e+01 
 2.13796209e+05 -4.11950976e+01 -4.11950976e+01 
