 time            v(inp)          v(out)         
 0.00000000e+00  4.00000000e-01  3.99938712e-01 
 1.10000000e-11  4.00000000e-01  3.99938712e-01 
 2.20000000e-11  4.00000000e-01  3.99938712e-01 
 4.40000000e-11  4.00000000e-01  3.99938712e-01 
 8.80000000e-11  4.00000000e-01  3.99938712e-01 
 1.76000000e-10  4.00000000e-01  3.99938712e-01 
 3.52000000e-10  4.00000000e-01  3.99938712e-01 
 7.04000000e-10  4.00000000e-01  3.99938712e-01 
 1.40800000e-09  4.00000000e-01  3.99938712e-01 
 2.50800000e-09  4.00000000e-01  3.99938712e-01 
 3.60800000e-09  4.00000000e-01  3.99938712e-01 
 4.70800000e-09  4.00000000e-01  3.99938712e-01 
 5.80800000e-09  4.00000000e-01  3.99938712e-01 
 6.90800000e-09  4.00000000e-01  3.99938712e-01 
 8.00800000e-09  4.00000000e-01  3.99938712e-01 
 9.10800000e-09  4.00000000e-01  3.99938712e-01 
 1.02080000e-08  4.00000000e-01  3.99938712e-01 
 1.13080000e-08  4.00000000e-01  3.99938712e-01 
 1.24080000e-08  4.00000000e-01  3.99938712e-01 
 1.35080000e-08  4.00000000e-01  3.99938712e-01 
 1.46080000e-08  4.00000000e-01  3.99938712e-01 
 1.57080000e-08  4.00000000e-01  3.99938712e-01 
 1.68080000e-08  4.00000000e-01  3.99938712e-01 
 1.79080000e-08  4.00000000e-01  3.99938712e-01 
 1.90080000e-08  4.00000000e-01  3.99938712e-01 
 2.01080000e-08  4.00000000e-01  3.99938712e-01 
 2.12080000e-08  4.00000000e-01  3.99938712e-01 
 2.23080000e-08  4.00000000e-01  3.99938712e-01 
 2.34080000e-08  4.00000000e-01  3.99938712e-01 
 2.45080000e-08  4.00000000e-01  3.99938712e-01 
 2.56080000e-08  4.00000000e-01  3.99938712e-01 
 2.67080000e-08  4.00000000e-01  3.99938712e-01 
 2.78080000e-08  4.00000000e-01  3.99938712e-01 
 2.89080000e-08  4.00000000e-01  3.99938712e-01 
 3.00080000e-08  4.00000000e-01  3.99938712e-01 
 3.11080000e-08  4.00000000e-01  3.99938712e-01 
 3.22080000e-08  4.00000000e-01  3.99938712e-01 
 3.33080000e-08  4.00000000e-01  3.99938712e-01 
 3.44080000e-08  4.00000000e-01  3.99938712e-01 
 3.55080000e-08  4.00000000e-01  3.99938712e-01 
 3.66080000e-08  4.00000000e-01  3.99938712e-01 
 3.77080000e-08  4.00000000e-01  3.99938712e-01 
 3.88080000e-08  4.00000000e-01  3.99938712e-01 
 3.99080000e-08  4.00000000e-01  3.99938712e-01 
 4.10080000e-08  4.00000000e-01  3.99938712e-01 
 4.21080000e-08  4.00000000e-01  3.99938712e-01 
 4.32080000e-08  4.00000000e-01  3.99938712e-01 
 4.43080000e-08  4.00000000e-01  3.99938712e-01 
 4.54080000e-08  4.00000000e-01  3.99938712e-01 
 4.65080000e-08  4.00000000e-01  3.99938712e-01 
 4.76080000e-08  4.00000000e-01  3.99938712e-01 
 4.87080000e-08  4.00000000e-01  3.99938712e-01 
 4.98080000e-08  4.00000000e-01  3.99938712e-01 
 5.09080000e-08  4.00000000e-01  3.99938712e-01 
 5.20080000e-08  4.00000000e-01  3.99938712e-01 
 5.31080000e-08  4.00000000e-01  3.99938712e-01 
 5.42080000e-08  4.00000000e-01  3.99938712e-01 
 5.53080000e-08  4.00000000e-01  3.99938712e-01 
 5.64080000e-08  4.00000000e-01  3.99938712e-01 
 5.75080000e-08  4.00000000e-01  3.99938712e-01 
 5.86080000e-08  4.00000000e-01  3.99938712e-01 
 5.97080000e-08  4.00000000e-01  3.99938712e-01 
 6.08080000e-08  4.00000000e-01  3.99938712e-01 
 6.19080000e-08  4.00000000e-01  3.99938712e-01 
 6.30080000e-08  4.00000000e-01  3.99938712e-01 
 6.41080000e-08  4.00000000e-01  3.99938712e-01 
 6.52080000e-08  4.00000000e-01  3.99938712e-01 
 6.63080000e-08  4.00000000e-01  3.99938712e-01 
 6.74080000e-08  4.00000000e-01  3.99938712e-01 
 6.85080000e-08  4.00000000e-01  3.99938712e-01 
 6.96080000e-08  4.00000000e-01  3.99938712e-01 
 7.07080000e-08  4.00000000e-01  3.99938712e-01 
 7.18080000e-08  4.00000000e-01  3.99938712e-01 
 7.29080000e-08  4.00000000e-01  3.99938712e-01 
 7.40080000e-08  4.00000000e-01  3.99938712e-01 
 7.51080000e-08  4.00000000e-01  3.99938712e-01 
 7.62080000e-08  4.00000000e-01  3.99938712e-01 
 7.73080000e-08  4.00000000e-01  3.99938712e-01 
 7.84080000e-08  4.00000000e-01  3.99938712e-01 
 7.95080000e-08  4.00000000e-01  3.99938712e-01 
 8.06080000e-08  4.00000000e-01  3.99938712e-01 
 8.17080000e-08  4.00000000e-01  3.99938712e-01 
 8.28080000e-08  4.00000000e-01  3.99938712e-01 
 8.39080000e-08  4.00000000e-01  3.99938712e-01 
 8.50080000e-08  4.00000000e-01  3.99938712e-01 
 8.61080000e-08  4.00000000e-01  3.99938712e-01 
 8.72080000e-08  4.00000000e-01  3.99938712e-01 
 8.83080000e-08  4.00000000e-01  3.99938712e-01 
 8.94080000e-08  4.00000000e-01  3.99938712e-01 
 9.05080000e-08  4.00000000e-01  3.99938712e-01 
 9.16080000e-08  4.00000000e-01  3.99938712e-01 
 9.27080000e-08  4.00000000e-01  3.99938712e-01 
 9.38080000e-08  4.00000000e-01  3.99938712e-01 
 9.49080000e-08  4.00000000e-01  3.99938712e-01 
 9.60080000e-08  4.00000000e-01  3.99938712e-01 
 9.71080000e-08  4.00000000e-01  3.99938712e-01 
 9.82080000e-08  4.00000000e-01  3.99938712e-01 
 9.93080000e-08  4.00000000e-01  3.99938712e-01 
 1.00000000e-07  4.00000000e-01  3.99938712e-01 
 1.00001000e-07  4.30000000e-01  3.99997182e-01 
 1.00003000e-07  4.90000000e-01  4.00115913e-01 
 1.00007000e-07  6.10000000e-01  4.00373321e-01 
 1.00010000e-07  7.00000000e-01  4.00587876e-01 
 1.00010800e-07  7.00000000e-01  4.00590941e-01 
 1.00012400e-07  7.00000000e-01  4.00596931e-01 
 1.00015600e-07  7.00000000e-01  4.00608147e-01 
 1.00022000e-07  7.00000000e-01  4.00627972e-01 
 1.00034800e-07  7.00000000e-01  4.00659811e-01 
 1.00060400e-07  7.00000000e-01  4.00704364e-01 
 1.00111600e-07  7.00000000e-01  4.00758908e-01 
 1.00214000e-07  7.00000000e-01  4.00826351e-01 
 1.00418800e-07  7.00000000e-01  4.00913345e-01 
 1.00828400e-07  7.00000000e-01  4.01002654e-01 
 1.01647600e-07  7.00000000e-01  4.01049180e-01 
 1.02747600e-07  7.00000000e-01  4.01020699e-01 
 1.03847600e-07  7.00000000e-01  4.00967847e-01 
 1.04947600e-07  7.00000000e-01  4.01027817e-01 
 1.06047600e-07  7.00000000e-01  4.01213655e-01 
 1.07147600e-07  7.00000000e-01  4.01429756e-01 
 1.08247600e-07  7.00000000e-01  4.01683209e-01 
 1.09347600e-07  7.00000000e-01  4.01962581e-01 
 1.10447600e-07  7.00000000e-01  4.02268703e-01 
 1.11547600e-07  7.00000000e-01  4.02595285e-01 
 1.12647600e-07  7.00000000e-01  4.02941500e-01 
 1.13747600e-07  7.00000000e-01  4.03303456e-01 
 1.14847600e-07  7.00000000e-01  4.03679986e-01 
 1.15947600e-07  7.00000000e-01  4.04068538e-01 
 1.17047600e-07  7.00000000e-01  4.04468013e-01 
 1.18147600e-07  7.00000000e-01  4.04876683e-01 
 1.19247600e-07  7.00000000e-01  4.05293626e-01 
 1.20347600e-07  7.00000000e-01  4.05717645e-01 
 1.21447600e-07  7.00000000e-01  4.06148007e-01 
 1.22547600e-07  7.00000000e-01  4.06583868e-01 
 1.23647600e-07  7.00000000e-01  4.07024659e-01 
 1.24747600e-07  7.00000000e-01  4.07469776e-01 
 1.25847600e-07  7.00000000e-01  4.07918782e-01 
 1.26947600e-07  7.00000000e-01  4.08371239e-01 
 1.28047600e-07  7.00000000e-01  4.08826815e-01 
 1.29147600e-07  7.00000000e-01  4.09285189e-01 
 1.30247600e-07  7.00000000e-01  4.09746105e-01 
 1.31347600e-07  7.00000000e-01  4.10209328e-01 
 1.32447600e-07  7.00000000e-01  4.10674661e-01 
 1.33547600e-07  7.00000000e-01  4.11141928e-01 
 1.34647600e-07  7.00000000e-01  4.11610978e-01 
 1.35747600e-07  7.00000000e-01  4.12081676e-01 
 1.36847600e-07  7.00000000e-01  4.12553908e-01 
 1.37947600e-07  7.00000000e-01  4.13027569e-01 
 1.39047600e-07  7.00000000e-01  4.13502570e-01 
 1.40147600e-07  7.00000000e-01  4.13978831e-01 
 1.41247600e-07  7.00000000e-01  4.14456279e-01 
 1.42347600e-07  7.00000000e-01  4.14934853e-01 
 1.43447600e-07  7.00000000e-01  4.15414496e-01 
 1.44547600e-07  7.00000000e-01  4.15895157e-01 
