 time            Vin             Vout           
 2.45431164e-06  7.90000000e-01  2.80540876e-01 
 2.45531164e-06  7.90000000e-01  2.80540914e-01 
 2.45631164e-06  7.90000000e-01  2.80540952e-01 
 2.45731164e-06  7.90000000e-01  2.80540990e-01 
 2.45831164e-06  7.90000000e-01  2.80541028e-01 
 2.45931164e-06  7.90000000e-01  2.80541066e-01 
 2.46031164e-06  7.90000000e-01  2.80541104e-01 
 2.46131164e-06  7.90000000e-01  2.80541142e-01 
 2.46231164e-06  7.90000000e-01  2.80541180e-01 
 2.46331164e-06  7.90000000e-01  2.80541219e-01 
 2.46431164e-06  7.90000000e-01  2.80541257e-01 
 2.46531164e-06  7.90000000e-01  2.80541296e-01 
 2.46631164e-06  7.90000000e-01  2.80541334e-01 
 2.46731164e-06  7.90000000e-01  2.80541373e-01 
 2.46831164e-06  7.90000000e-01  2.80541411e-01 
 2.46931164e-06  7.90000000e-01  2.80541450e-01 
 2.47031164e-06  7.90000000e-01  2.80541489e-01 
 2.47131164e-06  7.90000000e-01  2.80541527e-01 
 2.47231164e-06  7.90000000e-01  2.80541566e-01 
 2.47331164e-06  7.90000000e-01  2.80541605e-01 
 2.47431164e-06  7.90000000e-01  2.80541644e-01 
 2.47531164e-06  7.90000000e-01  2.80541683e-01 
 2.47631164e-06  7.90000000e-01  2.80541722e-01 
 2.47731164e-06  7.90000000e-01  2.80541761e-01 
 2.47831164e-06  7.90000000e-01  2.80541800e-01 
 2.47931164e-06  7.90000000e-01  2.80541839e-01 
 2.48031164e-06  7.90000000e-01  2.80541878e-01 
 2.48131164e-06  7.90000000e-01  2.80541917e-01 
 2.48231164e-06  7.90000000e-01  2.80541957e-01 
 2.48331164e-06  7.90000000e-01  2.80541996e-01 
 2.48431164e-06  7.90000000e-01  2.80542035e-01 
 2.48531164e-06  7.90000000e-01  2.80542074e-01 
 2.48631164e-06  7.90000000e-01  2.80542114e-01 
 2.48731164e-06  7.90000000e-01  2.80542153e-01 
 2.48831164e-06  7.90000000e-01  2.80542192e-01 
 2.48931164e-06  7.90000000e-01  2.80542232e-01 
 2.49031164e-06  7.90000000e-01  2.80542271e-01 
 2.49131164e-06  7.90000000e-01  2.80542310e-01 
 2.49231164e-06  7.90000000e-01  2.80542350e-01 
 2.49331164e-06  7.90000000e-01  2.80542389e-01 
 2.49431164e-06  7.90000000e-01  2.80542428e-01 
 2.49531164e-06  7.90000000e-01  2.80542468e-01 
 2.49631164e-06  7.90000000e-01  2.80542507e-01 
 2.49731164e-06  7.90000000e-01  2.80542547e-01 
 2.49831164e-06  7.90000000e-01  2.80542586e-01 
 2.49931164e-06  7.90000000e-01  2.80542626e-01 
 2.50031164e-06  7.90000000e-01  2.80542665e-01 
 2.50131164e-06  7.90000000e-01  2.80542705e-01 
 2.50231164e-06  7.90000000e-01  2.80542744e-01 
 2.50331164e-06  7.90000000e-01  2.80542783e-01 
 2.50431164e-06  7.90000000e-01  2.80542823e-01 
 2.50531164e-06  7.90000000e-01  2.80542862e-01 
 2.50631164e-06  7.90000000e-01  2.80542902e-01 
 2.50731164e-06  7.90000000e-01  2.80542941e-01 
 2.50831164e-06  7.90000000e-01  2.80542981e-01 
 2.50931164e-06  7.90000000e-01  2.80543020e-01 
 2.51031164e-06  7.90000000e-01  2.80543059e-01 
 2.51131164e-06  7.90000000e-01  2.80543099e-01 
 2.51231164e-06  7.90000000e-01  2.80543138e-01 
 2.51331164e-06  7.90000000e-01  2.80543177e-01 
 2.51431164e-06  7.90000000e-01  2.80543217e-01 
 2.51531164e-06  7.90000000e-01  2.80543256e-01 
 2.51631164e-06  7.90000000e-01  2.80543295e-01 
 2.51731164e-06  7.90000000e-01  2.80543335e-01 
 2.51831164e-06  7.90000000e-01  2.80543374e-01 
 2.51931164e-06  7.90000000e-01  2.80543413e-01 
 2.52031164e-06  7.90000000e-01  2.80543452e-01 
 2.52131164e-06  7.90000000e-01  2.80543491e-01 
 2.52231164e-06  7.90000000e-01  2.80543531e-01 
 2.52331164e-06  7.90000000e-01  2.80543570e-01 
 2.52431164e-06  7.90000000e-01  2.80543609e-01 
 2.52531164e-06  7.90000000e-01  2.80543648e-01 
 2.52631164e-06  7.90000000e-01  2.80543687e-01 
 2.52731164e-06  7.90000000e-01  2.80543726e-01 
 2.52831164e-06  7.90000000e-01  2.80543765e-01 
 2.52931164e-06  7.90000000e-01  2.80543804e-01 
 2.53031164e-06  7.90000000e-01  2.80543842e-01 
 2.53131164e-06  7.90000000e-01  2.80543881e-01 
 2.53231164e-06  7.90000000e-01  2.80543920e-01 
 2.53331164e-06  7.90000000e-01  2.80543959e-01 
 2.53431164e-06  7.90000000e-01  2.80543998e-01 
 2.53531164e-06  7.90000000e-01  2.80544036e-01 
 2.53631164e-06  7.90000000e-01  2.80544075e-01 
 2.53731164e-06  7.90000000e-01  2.80544113e-01 
 2.53831164e-06  7.90000000e-01  2.80544152e-01 
 2.53931164e-06  7.90000000e-01  2.80544190e-01 
 2.54031164e-06  7.90000000e-01  2.80544229e-01 
 2.54131164e-06  7.90000000e-01  2.80544267e-01 
 2.54231164e-06  7.90000000e-01  2.80544305e-01 
 2.54331164e-06  7.90000000e-01  2.80544344e-01 
 2.54431164e-06  7.90000000e-01  2.80544382e-01 
 2.54531164e-06  7.90000000e-01  2.80544420e-01 
 2.54631164e-06  7.90000000e-01  2.80544458e-01 
 2.54731164e-06  7.90000000e-01  2.80544496e-01 
 2.54831164e-06  7.90000000e-01  2.80544534e-01 
 2.54931164e-06  7.90000000e-01  2.80544572e-01 
 2.55031164e-06  7.90000000e-01  2.80544610e-01 
 2.55131164e-06  7.90000000e-01  2.80544648e-01 
 2.55231164e-06  7.90000000e-01  2.80544686e-01 
 2.55331164e-06  7.90000000e-01  2.80544723e-01 
 2.55431164e-06  7.90000000e-01  2.80544761e-01 
 2.55531164e-06  7.90000000e-01  2.80544798e-01 
 2.55631164e-06  7.90000000e-01  2.80544836e-01 
 2.55731164e-06  7.90000000e-01  2.80544873e-01 
 2.55831164e-06  7.90000000e-01  2.80544911e-01 
 2.55931164e-06  7.90000000e-01  2.80544948e-01 
 2.56031164e-06  7.90000000e-01  2.80544985e-01 
 2.56131164e-06  7.90000000e-01  2.80545022e-01 
 2.56231164e-06  7.90000000e-01  2.80545059e-01 
 2.56331164e-06  7.90000000e-01  2.80545096e-01 
 2.56431164e-06  7.90000000e-01  2.80545133e-01 
 2.56531164e-06  7.90000000e-01  2.80545170e-01 
 2.56631164e-06  7.90000000e-01  2.80545207e-01 
 2.56731164e-06  7.90000000e-01  2.80545243e-01 
 2.56831164e-06  7.90000000e-01  2.80545280e-01 
 2.56931164e-06  7.90000000e-01  2.80545317e-01 
 2.57031164e-06  7.90000000e-01  2.80545353e-01 
 2.57131164e-06  7.90000000e-01  2.80545389e-01 
 2.57231164e-06  7.90000000e-01  2.80545426e-01 
 2.57331164e-06  7.90000000e-01  2.80545462e-01 
 2.57431164e-06  7.90000000e-01  2.80545498e-01 
 2.57531164e-06  7.90000000e-01  2.80545534e-01 
 2.57631164e-06  7.90000000e-01  2.80545570e-01 
 2.57731164e-06  7.90000000e-01  2.80545606e-01 
 2.57831164e-06  7.90000000e-01  2.80545642e-01 
 2.57931164e-06  7.90000000e-01  2.80545677e-01 
 2.58031164e-06  7.90000000e-01  2.80545713e-01 
 2.58131164e-06  7.90000000e-01  2.80545748e-01 
 2.58231164e-06  7.90000000e-01  2.80545784e-01 
 2.58331164e-06  7.90000000e-01  2.80545819e-01 
 2.58431164e-06  7.90000000e-01  2.80545854e-01 
 2.58531164e-06  7.90000000e-01  2.80545890e-01 
