 time            Vin             Vout           
 0.00000000e+00  7.80000000e-01  2.70592010e-01 
 1.00000000e-11  7.80000000e-01  2.70592010e-01 
 2.00000000e-11  7.80000000e-01  2.70592010e-01 
 4.00000000e-11  7.80000000e-01  2.70592010e-01 
 8.00000000e-11  7.80000000e-01  2.70592010e-01 
 1.60000000e-10  7.80000000e-01  2.70592010e-01 
 3.20000000e-10  7.80000000e-01  2.70592010e-01 
 6.40000000e-10  7.80000000e-01  2.70592010e-01 
 1.28000000e-09  7.80000000e-01  2.70592010e-01 
 2.28000000e-09  7.80000000e-01  2.70592010e-01 
 3.28000000e-09  7.80000000e-01  2.70592010e-01 
 4.28000000e-09  7.80000000e-01  2.70592010e-01 
 5.28000000e-09  7.80000000e-01  2.70592010e-01 
 6.28000000e-09  7.80000000e-01  2.70592010e-01 
 7.28000000e-09  7.80000000e-01  2.70592010e-01 
 8.28000000e-09  7.80000000e-01  2.70592010e-01 
 9.28000000e-09  7.80000000e-01  2.70592010e-01 
 1.02800000e-08  7.80000000e-01  2.70592010e-01 
 1.12800000e-08  7.80000000e-01  2.70592010e-01 
 1.22800000e-08  7.80000000e-01  2.70592010e-01 
 1.32800000e-08  7.80000000e-01  2.70592010e-01 
 1.42800000e-08  7.80000000e-01  2.70592010e-01 
 1.52800000e-08  7.80000000e-01  2.70592010e-01 
 1.62800000e-08  7.80000000e-01  2.70592010e-01 
 1.72800000e-08  7.80000000e-01  2.70592010e-01 
 1.82800000e-08  7.80000000e-01  2.70592010e-01 
 1.92800000e-08  7.80000000e-01  2.70592010e-01 
 2.02800000e-08  7.80000000e-01  2.70592010e-01 
 2.12800000e-08  7.80000000e-01  2.70592010e-01 
 2.22800000e-08  7.80000000e-01  2.70592010e-01 
 2.32800000e-08  7.80000000e-01  2.70592010e-01 
 2.42800000e-08  7.80000000e-01  2.70592010e-01 
 2.52800000e-08  7.80000000e-01  2.70592010e-01 
 2.62800000e-08  7.80000000e-01  2.70592010e-01 
 2.72800000e-08  7.80000000e-01  2.70592010e-01 
 2.82800000e-08  7.80000000e-01  2.70592010e-01 
 2.92800000e-08  7.80000000e-01  2.70592010e-01 
 3.02800000e-08  7.80000000e-01  2.70592010e-01 
 3.12800000e-08  7.80000000e-01  2.70592010e-01 
 3.22800000e-08  7.80000000e-01  2.70592010e-01 
 3.32800000e-08  7.80000000e-01  2.70592010e-01 
 3.42800000e-08  7.80000000e-01  2.70592010e-01 
 3.52800000e-08  7.80000000e-01  2.70592010e-01 
 3.62800000e-08  7.80000000e-01  2.70592010e-01 
 3.72800000e-08  7.80000000e-01  2.70592010e-01 
 3.82800000e-08  7.80000000e-01  2.70592010e-01 
 3.92800000e-08  7.80000000e-01  2.70592010e-01 
 4.02800000e-08  7.80000000e-01  2.70592010e-01 
 4.12800000e-08  7.80000000e-01  2.70592010e-01 
 4.22800000e-08  7.80000000e-01  2.70592010e-01 
 4.32800000e-08  7.80000000e-01  2.70592010e-01 
 4.42800000e-08  7.80000000e-01  2.70592010e-01 
 4.52800000e-08  7.80000000e-01  2.70592010e-01 
 4.62800000e-08  7.80000000e-01  2.70592010e-01 
 4.72800000e-08  7.80000000e-01  2.70592010e-01 
 4.82800000e-08  7.80000000e-01  2.70592010e-01 
 4.92800000e-08  7.80000000e-01  2.70592010e-01 
 5.02800000e-08  7.80000000e-01  2.70592010e-01 
 5.12800000e-08  7.80000000e-01  2.70592010e-01 
 5.22800000e-08  7.80000000e-01  2.70592010e-01 
 5.32800000e-08  7.80000000e-01  2.70592010e-01 
 5.42800000e-08  7.80000000e-01  2.70592010e-01 
 5.52800000e-08  7.80000000e-01  2.70592010e-01 
 5.62800000e-08  7.80000000e-01  2.70592010e-01 
 5.72800000e-08  7.80000000e-01  2.70592010e-01 
 5.82800000e-08  7.80000000e-01  2.70592010e-01 
 5.92800000e-08  7.80000000e-01  2.70592010e-01 
 6.02800000e-08  7.80000000e-01  2.70592010e-01 
 6.12800000e-08  7.80000000e-01  2.70592010e-01 
 6.22800000e-08  7.80000000e-01  2.70592010e-01 
 6.32800000e-08  7.80000000e-01  2.70592010e-01 
 6.42800000e-08  7.80000000e-01  2.70592010e-01 
 6.52800000e-08  7.80000000e-01  2.70592010e-01 
 6.62800000e-08  7.80000000e-01  2.70592010e-01 
 6.72800000e-08  7.80000000e-01  2.70592010e-01 
 6.82800000e-08  7.80000000e-01  2.70592010e-01 
 6.92800000e-08  7.80000000e-01  2.70592010e-01 
 7.02800000e-08  7.80000000e-01  2.70592010e-01 
 7.12800000e-08  7.80000000e-01  2.70592010e-01 
 7.22800000e-08  7.80000000e-01  2.70592010e-01 
 7.32800000e-08  7.80000000e-01  2.70592010e-01 
 7.42800000e-08  7.80000000e-01  2.70592010e-01 
 7.52800000e-08  7.80000000e-01  2.70592010e-01 
 7.62800000e-08  7.80000000e-01  2.70592010e-01 
 7.72800000e-08  7.80000000e-01  2.70592010e-01 
 7.82800000e-08  7.80000000e-01  2.70592010e-01 
 7.92800000e-08  7.80000000e-01  2.70592010e-01 
 8.02800000e-08  7.80000000e-01  2.70592010e-01 
 8.12800000e-08  7.80000000e-01  2.70592010e-01 
 8.22800000e-08  7.80000000e-01  2.70592010e-01 
 8.32800000e-08  7.80000000e-01  2.70592010e-01 
 8.42800000e-08  7.80000000e-01  2.70592010e-01 
 8.52800000e-08  7.80000000e-01  2.70592010e-01 
 8.62800000e-08  7.80000000e-01  2.70592010e-01 
 8.72800000e-08  7.80000000e-01  2.70592010e-01 
 8.82800000e-08  7.80000000e-01  2.70592010e-01 
 8.92800000e-08  7.80000000e-01  2.70592010e-01 
 9.02800000e-08  7.80000000e-01  2.70592010e-01 
 9.12800000e-08  7.80000000e-01  2.70592010e-01 
 9.22800000e-08  7.80000000e-01  2.70592010e-01 
 9.32800000e-08  7.80000000e-01  2.70592010e-01 
 9.42800000e-08  7.80000000e-01  2.70592010e-01 
 9.52800000e-08  7.80000000e-01  2.70592010e-01 
 9.62800000e-08  7.80000000e-01  2.70592010e-01 
 9.72800000e-08  7.80000000e-01  2.70592010e-01 
 9.82800000e-08  7.80000000e-01  2.70592010e-01 
 9.92800000e-08  7.80000000e-01  2.70592010e-01 
 1.00000000e-07  7.80000000e-01  2.70592010e-01 
 1.00000100e-07  7.81000000e-01  2.70593596e-01 
 1.00000300e-07  7.83000000e-01  2.70596781e-01 
 1.00000700e-07  7.87000000e-01  2.70603201e-01 
 1.00001000e-07  7.90000000e-01  2.70608059e-01 
 1.00001080e-07  7.90000000e-01  2.70608061e-01 
 1.00001240e-07  7.90000000e-01  2.70608065e-01 
 1.00001560e-07  7.90000000e-01  2.70608074e-01 
 1.00002200e-07  7.90000000e-01  2.70608091e-01 
 1.00003480e-07  7.90000000e-01  2.70608126e-01 
 1.00006040e-07  7.90000000e-01  2.70608196e-01 
 1.00011160e-07  7.90000000e-01  2.70608340e-01 
 1.00021400e-07  7.90000000e-01  2.70608641e-01 
 1.00041880e-07  7.90000000e-01  2.70609296e-01 
 1.00082840e-07  7.90000000e-01  2.70610818e-01 
 1.00164760e-07  7.90000000e-01  2.70614693e-01 
 1.00328600e-07  7.90000000e-01  2.70625666e-01 
 1.00656280e-07  7.90000000e-01  2.70659683e-01 
 1.01311640e-07  7.90000000e-01  2.70769453e-01 
 1.02311640e-07  7.90000000e-01  2.71018221e-01 
 1.03311640e-07  7.90000000e-01  2.71330002e-01 
 1.04311640e-07  7.90000000e-01  2.71670365e-01 
 1.05311640e-07  7.90000000e-01  2.72016387e-01 
 1.06311640e-07  7.90000000e-01  2.72357031e-01 
 1.07311640e-07  7.90000000e-01  2.72690786e-01 
 1.08311640e-07  7.90000000e-01  2.73020198e-01 
 1.09311640e-07  7.90000000e-01  2.73347498e-01 
 1.10311640e-07  7.90000000e-01  2.73673775e-01 
 1.11311640e-07  7.90000000e-01  2.73999456e-01 
 1.12311640e-07  7.90000000e-01  2.74324687e-01 
 1.13311640e-07  7.90000000e-01  2.74649505e-01 
 1.14311640e-07  7.90000000e-01  2.74973902e-01 
 1.15311640e-07  7.90000000e-01  2.75297853e-01 
 1.16311640e-07  7.90000000e-01  2.75621321e-01 
 1.17311640e-07  7.90000000e-01  2.75944260e-01 
 1.18311640e-07  7.90000000e-01  2.76266618e-01 
 1.19311640e-07  7.90000000e-01  2.76588332e-01 
 1.20311640e-07  7.90000000e-01  2.76909332e-01 
 1.21311640e-07  7.90000000e-01  2.77229534e-01 
 1.22311640e-07  7.90000000e-01  2.77548841e-01 
 1.23311640e-07  7.90000000e-01  2.77867138e-01 
 1.24311640e-07  7.90000000e-01  2.78184290e-01 
 1.25311640e-07  7.90000000e-01  2.78500134e-01 
 1.26311640e-07  7.90000000e-01  2.78814477e-01 
