 frequency           vr(out)             vi(out)             AclmagdB            Aclphdeg            AolmagdB            Aolphdeg           
 1.000000000000e-01  1.000262670396e+00 -8.518829479228e-08  2.281226477857e-03 -4.879648016438e-06  7.161405819622e+01 -1.799814229242e+02 
 1.057767560283e-01  1.000262670396e+00 -9.010941474711e-08  2.281226477857e-03 -5.161533377388e-06  7.161405814193e+01 -1.799803497720e+02 
 1.118872211587e-01  1.000262670396e+00 -9.531481579561e-08  2.281226477857e-03 -5.459702567920e-06  7.161405808119e+01 -1.799792146263e+02 
 1.183506729519e-01  1.000262670396e+00 -1.008209201630e-07  2.281226477855e-03 -5.775096265140e-06  7.161405801324e+01 -1.799780139061e+02 
 1.251875025863e-01  1.000262670396e+00 -1.066450987463e-07  2.281226477863e-03 -6.108709486778e-06  7.161405793717e+01 -1.799767438233e+02 
 1.324192791886e-01  1.000262670396e+00 -1.128057259170e-07  2.281226477865e-03 -6.461594730308e-06  7.161405785209e+01 -1.799754003708e+02 
 1.400688178818e-01  1.000262670396e+00 -1.193222374892e-07  2.281226477863e-03 -6.834865293416e-06  7.161405775690e+01 -1.799739793105e+02 
 1.481602517626e-01  1.000262670396e+00 -1.262151920365e-07  2.281226477867e-03 -7.229698786282e-06  7.161405765038e+01 -1.799724761589e+02 
 1.567191080378e-01  1.000262670396e+00 -1.335063357511e-07  2.281226477869e-03 -7.647340846746e-06  7.161405753121e+01 -1.799708861741e+02 
 1.657723885589e-01  1.000262670396e+00 -1.412186710498e-07  2.281226477869e-03 -8.089109070118e-06  7.161405739788e+01 -1.799692043397e+02 
 1.753486550083e-01  1.000262670396e+00 -1.493765291428e-07  2.281226477869e-03 -8.556397165962e-06  7.161405724869e+01 -1.799674253499e+02 
 1.854781190071e-01  1.000262670396e+00 -1.580056467949e-07  2.281226477872e-03 -9.050679355055e-06  7.161405708177e+01 -1.799655435923e+02 
 1.961927374280e-01  1.000262670396e+00 -1.671332475212e-07  2.281226477878e-03 -9.573515020300e-06  7.161405689499e+01 -1.799635531302e+02 
 2.075263132145e-01  1.000262670396e+00 -1.767881274727e-07  2.281226477882e-03 -1.012655362636e-05  7.161405668602e+01 -1.799614476840e+02 
 2.195146020235e-01  1.000262670396e+00 -1.870007462839e-07  2.281226477886e-03 -1.071153992343e-05  7.161405645221e+01 -1.799592206115e+02 
 2.321954250289e-01  1.000262670396e+00 -1.978033231678e-07  2.281226477886e-03 -1.133031945168e-05  7.161405619062e+01 -1.799568648866e+02 
 2.456087882417e-01  1.000262670396e+00 -2.092299385631e-07  2.281226477892e-03 -1.198484436363e-05  7.161405589792e+01 -1.799543730774e+02 
 2.597970087226e-01  1.000262670396e+00 -2.213166416521e-07  2.281226477899e-03 -1.267717958290e-05  7.161405557042e+01 -1.799517373226e+02 
 2.748048480853e-01  1.000262670396e+00 -2.341015640904e-07  2.281226477905e-03 -1.340950931867e-05  7.161405520400e+01 -1.799489493069e+02 
 2.906796537132e-01  1.000262670396e+00 -2.476250403064e-07  2.281226477909e-03 -1.418414395661e-05  7.161405479403e+01 -1.799460002346e+02 
 3.074715081322e-01  1.000262670396e+00 -2.619297347499e-07  2.281226477917e-03 -1.500352734768e-05  7.161405433531e+01 -1.799428808019e+02 
 3.252333870136e-01  1.000262670396e+00 -2.770607764920e-07  2.281226477925e-03 -1.587024451820e-05  7.161405382207e+01 -1.799395811676e+02 
 3.440213263040e-01  1.000262670396e+00 -2.930659016002e-07  2.281226477934e-03 -1.678702982512e-05  7.161405324782e+01 -1.799360909219e+02 
 3.638945990099e-01  1.000262670396e+00 -3.099956037378e-07  2.281226477942e-03 -1.775677558251e-05  7.161405260531e+01 -1.799323990537e+02 
 3.849159021950e-01  1.000262670396e+00 -3.279032934642e-07  2.281226477955e-03 -1.878254118641e-05  7.161405188640e+01 -1.799284939159e+02 
 4.071515547790e-01  1.000262670396e+00 -3.468454667365e-07  2.281226477967e-03 -1.986756276667e-05  7.161405108206e+01 -1.799243631885e+02 
 4.306717067641e-01  1.000262670396e+00 -3.668818831452e-07  2.281226477979e-03 -2.101526339647e-05  7.161405018210e+01 -1.799199938400e+02 
 4.555505605468e-01  1.000262670396e+00 -3.880757544465e-07  2.281226477998e-03 -2.222926389159e-05  7.161404917514e+01 -1.799153720858e+02 
 4.818666050152e-01  1.000262670396e+00 -4.104939439860e-07  2.281226478017e-03 -2.351339423350e-05  7.161404804850e+01 -1.799104833454e+02 
 5.097028631689e-01  1.000262670396e+00 -4.342071776411e-07  2.281226478034e-03 -2.487170565235e-05  7.161404678794e+01 -1.799053121959e+02 
 5.391471540435e-01  1.000262670396e+00 -4.592902669508e-07  2.281226478059e-03 -2.630848340797e-05  7.161404537751e+01 -1.798998423233e+02 
 5.702923697662e-01  1.000262670396e+00 -4.858223451344e-07  2.281226478081e-03 -2.782826030919e-05  7.161404379944e+01 -1.798940564715e+02 
 6.032367686157e-01  1.000262670396e+00 -5.138871167438e-07  2.281226478106e-03 -2.943583101418e-05  7.161404203379e+01 -1.798879363875e+02 
 6.380842850118e-01  1.000262670396e+00 -5.435731217391e-07  2.281226478135e-03 -3.113626715678e-05  7.161404005825e+01 -1.798814627640e+02 
 6.749448574119e-01  1.000262670396e+00 -5.749740148174e-07  2.281226478171e-03 -3.293493334675e-05  7.161403784785e+01 -1.798746151783e+02 
 7.139347751503e-01  1.000262670396e+00 -6.081888608797e-07  2.281226478206e-03 -3.483750409428e-05  7.161403537474e+01 -1.798673720283e+02 
