 frequency       H1magdB         H1delay         H2magdB         H2delay         H3magdB         H3delay         H4magdB         H4delay         H5magdB         H5delay        
 1.41253754e-01  0.00000000e+00  4.76538626e-01  0.00000000e+00  4.99867525e-01  0.00000000e+00  4.99999737e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.42889396e-01  0.00000000e+00  4.76018356e-01 -9.64327467e-16  4.99861335e-01 -9.64327467e-16  4.99999719e-01  0.00000000e+00  5.00000000e-01 -9.64327467e-16  5.00000000e-01 
 1.44543977e-01 -9.64327467e-16  4.75487142e-01 -9.64327467e-16  4.99854858e-01  0.00000000e+00  4.99999698e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.46217717e-01  0.00000000e+00  4.74944780e-01  0.00000000e+00  4.99848079e-01  0.00000000e+00  4.99999677e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.47910839e-01  0.00000000e+00  4.74391065e-01 -9.64327467e-16  4.99840986e-01 -9.64327467e-16  4.99999654e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.49623566e-01  0.00000000e+00  4.73825788e-01  0.00000000e+00  4.99833563e-01  0.00000000e+00  4.99999629e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.51356125e-01  0.00000000e+00  4.73248737e-01  0.00000000e+00  4.99825795e-01  0.00000000e+00  4.99999603e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.53108746e-01  0.00000000e+00  4.72659697e-01  0.00000000e+00  4.99817666e-01  0.00000000e+00  4.99999575e-01  0.00000000e+00  4.99999999e-01  0.00000000e+00  5.00000000e-01 
 1.54881662e-01  0.00000000e+00  4.72058454e-01  0.00000000e+00  4.99809161e-01  0.00000000e+00  4.99999544e-01  0.00000000e+00  4.99999999e-01  0.00000000e+00  5.00000000e-01 
 1.56675107e-01  0.00000000e+00  4.71444787e-01  0.00000000e+00  4.99800260e-01  0.00000000e+00  4.99999512e-01 -9.64327467e-16  4.99999999e-01  0.00000000e+00  5.00000000e-01 
 1.58489319e-01  0.00000000e+00  4.70818477e-01  0.00000000e+00  4.99790947e-01  0.00000000e+00  4.99999477e-01  0.00000000e+00  4.99999999e-01  0.00000000e+00  5.00000000e-01 
 1.60324539e-01  0.00000000e+00  4.70179298e-01 -9.64327467e-16  4.99781202e-01  0.00000000e+00  4.99999440e-01  0.00000000e+00  4.99999999e-01  0.00000000e+00  5.00000000e-01 
 1.62181010e-01  0.00000000e+00  4.69527025e-01  0.00000000e+00  4.99771006e-01  0.00000000e+00  4.99999400e-01  0.00000000e+00  4.99999999e-01  0.00000000e+00  5.00000000e-01 
 1.64058977e-01  0.00000000e+00  4.68861430e-01  0.00000000e+00  4.99760337e-01  0.00000000e+00  4.99999357e-01  0.00000000e+00  4.99999999e-01  0.00000000e+00  5.00000000e-01 
 1.65958691e-01  0.00000000e+00  4.68182282e-01 -9.64327467e-16  4.99749174e-01  0.00000000e+00  4.99999312e-01  0.00000000e+00  4.99999999e-01  0.00000000e+00  5.00000000e-01 
