 frequency       AmagdB          Aphdeg         
 1.00000000e-01  1.13538702e+02 -2.33455453e+00 
 1.05776756e-01  1.13537845e+02 -2.46925368e+00 
 1.11887221e-01  1.13536887e+02 -2.61170432e+00 
 1.18350673e-01  1.13535815e+02 -2.76234879e+00 
 1.25187503e-01  1.13534617e+02 -2.92165399e+00 
 1.32419279e-01  1.13533276e+02 -3.09011263e+00 
 1.40068818e-01  1.13531776e+02 -3.26824447e+00 
 1.48160252e-01  1.13530098e+02 -3.45659767e+00 
 1.56719108e-01  1.13528222e+02 -3.65575011e+00 
 1.65772389e-01  1.13526123e+02 -3.86631078e+00 
 1.75348655e-01  1.13523777e+02 -4.08892114e+00 
 1.85478119e-01  1.13521153e+02 -4.32425652e+00 
 1.96192737e-01  1.13518219e+02 -4.57302749e+00 
 2.07526313e-01  1.13514938e+02 -4.83598124e+00 
 2.19514602e-01  1.13511271e+02 -5.11390291e+00 
 2.32195425e-01  1.13507171e+02 -5.40761679e+00 
 2.45608788e-01  1.13502588e+02 -5.71798756e+00 
 2.59797009e-01  1.13497467e+02 -6.04592130e+00 
 2.74804848e-01  1.13491743e+02 -6.39236636e+00 
 2.90679654e-01  1.13485349e+02 -6.75831407e+00 
 3.07471508e-01  1.13478205e+02 -7.14479912e+00 
 3.25233387e-01  1.13470226e+02 -7.55289968e+00 
 3.44021326e-01  1.13461316e+02 -7.98373708e+00 
 3.63894599e-01  1.13451368e+02 -8.43847505e+00 
 3.84915902e-01  1.13440265e+02 -8.91831836e+00 
 4.07151555e-01  1.13427876e+02 -9.42451076e+00 
 4.30671707e-01  1.13414055e+02 -9.95833219e+00 
 4.55550561e-01  1.13398644e+02 -1.05210949e+01 
 4.81866605e-01  1.13381465e+02 -1.11141389e+01 
 5.09702863e-01  1.13362324e+02 -1.17388251e+01 
 5.39147154e-01  1.13341008e+02 -1.23965289e+01 
 5.70292370e-01  1.13317280e+02 -1.30886297e+01 
 6.03236769e-01  1.13290886e+02 -1.38165011e+01 
 6.38084285e-01  1.13261542e+02 -1.45814972e+01 
 6.74944857e-01  1.13228944e+02 -1.53849376e+01 
 7.13934775e-01  1.13192758e+02 -1.62280902e+01 
 7.55177045e-01  1.13152625e+02 -1.71121509e+01 
 7.98801781e-01  1.13108157e+02 -1.80382211e+01 
 8.44946611e-01  1.13058937e+02 -1.90072831e+01 
 8.93757115e-01  1.13004518e+02 -2.00201719e+01 
 9.45387283e-01  1.12944429e+02 -2.10775460e+01 
 1.00000000e+00  1.12878167e+02 -2.21798554e+01 
 1.05776756e+00  1.12805208e+02 -2.33273086e+01 
 1.11887221e+00  1.12725003e+02 -2.45198387e+01 
 1.18350673e+00  1.12636986e+02 -2.57570700e+01 
 1.25187503e+00  1.12540575e+02 -2.70382855e+01 
 1.32419279e+00  1.12435181e+02 -2.83623974e+01 
 1.40068818e+00  1.12320214e+02 -2.97279214e+01 
 1.48160252e+00  1.12195087e+02 -3.11329569e+01 
 1.56719108e+00  1.12059232e+02 -3.25751746e+01 
 1.65772389e+00  1.11912100e+02 -3.40518123e+01 
 1.75348655e+00  1.11753180e+02 -3.55596815e+01 
 1.85478119e+00  1.11582000e+02 -3.70951850e+01 
 1.96192737e+00  1.11398145e+02 -3.86543461e+01 
 2.07526313e+00  1.11201259e+02 -4.02328496e+01 
 2.19514602e+00  1.10991058e+02 -4.18260943e+01 
 2.32195425e+00  1.10767333e+02 -4.34292555e+01 
 2.45608788e+00  1.10529959e+02 -4.50373548e+01 
 2.59797009e+00  1.10278894e+02 -4.66453370e+01 
 2.74804848e+00  1.10014184e+02 -4.82481484e+01 
 2.90679654e+00  1.09735958e+02 -4.98408164e+01 
 3.07471508e+00  1.09444428e+02 -5.14185248e+01 
 3.25233387e+00  1.09139883e+02 -5.29766846e+01 
 3.44021326e+00  1.08822680e+02 -5.45109951e+01 
 3.63894599e+00  1.08493238e+02 -5.60174966e+01 
 3.84915902e+00  1.08152031e+02 -5.74926100e+01 
 4.07151555e+00  1.07799572e+02 -5.89331664e+01 
 4.30671707e+00  1.07436410e+02 -6.03364236e+01 
 4.55550561e+00  1.07063116e+02 -6.17000724e+01 
 4.81866605e+00  1.06680275e+02 -6.30222317e+01 
 5.09702863e+00  1.06288479e+02 -6.43014362e+01 
 5.39147154e+00  1.05888317e+02 -6.55366160e+01 
 5.70292370e+00  1.05480369e+02 -6.67270705e+01 
 6.03236769e+00  1.05065201e+02 -6.78724391e+01 
 6.38084285e+00  1.04643360e+02 -6.89726683e+01 
 6.74944857e+00  1.04215371e+02 -7.00279787e+01 
 7.13934775e+00  1.03781733e+02 -7.10388308e+01 
 7.55177045e+00  1.03342919e+02 -7.20058917e+01 
