 frequency       Youtmag         Youtphdeg      
 3.48568837e+04  6.07018464e-05  2.07097804e+00 
 3.52584878e+04  6.07027656e-05  2.09483419e+00 
 3.56647189e+04  6.07037050e-05  2.11893667e+00 
 3.60756305e+04  6.07046661e-05  2.14331290e+00 
 3.64912764e+04  6.07056502e-05  2.16799031e+00 
 3.69117112e+04  6.07066579e-05  2.19296884e+00 
 3.73369900e+04  6.07076873e-05  2.21819356e+00 
 3.77671687e+04  6.07087409e-05  2.24371934e+00 
 3.82023036e+04  6.07098181e-05  2.26951868e+00 
 3.86424520e+04  6.07109228e-05  2.29567388e+00 
 3.90876716e+04  6.07120531e-05  2.32213001e+00 
 3.95380208e+04  6.07132071e-05  2.34883212e+00 
 3.99935587e+04  6.07143899e-05  2.37588996e+00 
 4.04543450e+04  6.07155960e-05  2.40316626e+00 
 4.09204403e+04  6.07168345e-05  2.43085305e+00 
 4.13919058e+04  6.07180983e-05  2.45878566e+00 
 4.18688032e+04  6.07193942e-05  2.48710121e+00 
 4.23511952e+04  6.07207229e-05  2.51579965e+00 
 4.28391452e+04  6.07220720e-05  2.54460656e+00 
 4.33327170e+04  6.07234599e-05  2.57390599e+00 
 4.38319755e+04  6.07248822e-05  2.60358811e+00 
 4.43369862e+04  6.07263342e-05  2.63354315e+00 
 4.48478155e+04  6.07278190e-05  2.66382590e+00 
 4.53645302e+04  6.07293372e-05  2.69443629e+00 
 4.58871983e+04  6.07308976e-05  2.72553882e+00 
 4.64158883e+04  6.07324844e-05  2.75680430e+00 
 4.69506697e+04  6.07341118e-05  2.78850691e+00 
 4.74916125e+04  6.07357779e-05  2.82059173e+00 
 4.80387878e+04  6.07374805e-05  2.85300382e+00 
 4.85922674e+04  6.07392288e-05  2.88590762e+00 
 4.91521239e+04  6.07410091e-05  2.91902886e+00 
 4.97184308e+04  6.07428336e-05  2.95258681e+00 
 5.02912624e+04  6.07447062e-05  2.98663617e+00 
 5.08706939e+04  6.07466126e-05  3.02090273e+00 
 5.14568013e+04  6.07485686e-05  3.05566052e+00 
 5.20496616e+04  6.07505720e-05  3.09085459e+00 
 5.26493525e+04  6.07526143e-05  3.12632040e+00 
 5.32559528e+04  6.07547087e-05  3.16227710e+00 
 5.38695420e+04  6.07568498e-05  3.19861496e+00 
 5.44902008e+04  6.07590417e-05  3.23538866e+00 
 5.51180104e+04  6.07612917e-05  3.27270767e+00 
 5.57530533e+04  6.07635844e-05  3.31029787e+00 
 5.63954130e+04  6.07659338e-05  3.34837834e+00 
 5.70451735e+04  6.07683306e-05  3.38678455e+00 
 5.77024203e+04  6.07707896e-05  3.42573553e+00 
 5.83672396e+04  6.07733083e-05  3.46517632e+00 
 5.90397186e+04  6.07758771e-05  3.50494247e+00 
 5.97199455e+04  6.07785076e-05  3.54519813e+00 
 6.04080098e+04  6.07812009e-05  3.58594316e+00 
 6.11040015e+04  6.07839506e-05  3.62706785e+00 
 6.18080121e+04  6.07867801e-05  3.66890059e+00 
 6.25201340e+04  6.07896534e-05  3.71089365e+00 
 6.32404607e+04  6.07926087e-05  3.75359436e+00 
 6.39690866e+04  6.07956287e-05  3.79672879e+00 
 6.47061073e+04  6.07987183e-05  3.84035148e+00 
 6.54516197e+04  6.08018825e-05  3.88451697e+00 
 6.62057214e+04  6.08051147e-05  3.92911559e+00 
 6.69685116e+04  6.08084241e-05  3.97425658e+00 
 6.77400903e+04  6.08118079e-05  4.01988499e+00 
 6.85205587e+04  6.08152634e-05  4.06594591e+00 
 6.93100193e+04  6.08188082e-05  4.11265789e+00 
 7.01085757e+04  6.08224441e-05  4.16002066e+00 
 7.09163327e+04  6.08261472e-05  4.20770583e+00 
 7.17333962e+04  6.08299443e-05  4.25604125e+00 
 7.25598736e+04  6.08338196e-05  4.30480794e+00 
 7.33958732e+04  6.08377964e-05  4.35427898e+00 
 7.42415048e+04  6.08418543e-05  4.40418073e+00 
 7.50968794e+04  6.08460172e-05  4.45478619e+00 
 7.59621092e+04  6.08502778e-05  4.50598571e+00 
 7.68373077e+04  6.08546147e-05  4.55750579e+00 
 7.77225899e+04  6.08590663e-05  4.60978321e+00 
 7.86180718e+04  6.08636253e-05  4.66270831e+00 
 7.95238711e+04  6.08682842e-05  4.71617149e+00 
 8.04401065e+04  6.08730541e-05  4.77028161e+00 
 8.13668983e+04  6.08779321e-05  4.82498367e+00 
 8.23043682e+04  6.08829250e-05  4.88033188e+00 
 8.32526392e+04  6.08880298e-05  4.93627123e+00 
 8.42118357e+04  6.08932484e-05  4.99280132e+00 
 8.51820836e+04  6.08986083e-05  5.05019449e+00 
 8.61635102e+04  6.09040603e-05  5.10790475e+00 
 8.71562443e+04  6.09096474e-05  5.16636807e+00 
 8.81604162e+04  6.09153828e-05  5.22569294e+00 
 8.91761577e+04  6.09212371e-05  5.28555169e+00 
 9.02036021e+04  6.09272230e-05  5.34605288e+00 
 9.12428842e+04  6.09333535e-05  5.40730496e+00 
 9.22941404e+04  6.09396203e-05  5.46919838e+00 
 9.33575087e+04  6.09460255e-05  5.53173261e+00 
 9.44331286e+04  6.09526054e-05  5.59523380e+00 
 9.55211412e+04  6.09593176e-05  5.65926564e+00 
 9.66216894e+04  6.09661871e-05  5.72404532e+00 
 9.77349176e+04  6.09732168e-05  5.78957218e+00 
 9.88609719e+04  6.09803856e-05  5.85562790e+00 
 1.00000000e+05  6.09877555e-05  5.92275585e+00 
 1.01152151e+05  6.09952820e-05  5.99052003e+00 
 1.02317577e+05  6.10029676e-05  6.05891977e+00 
 1.03496431e+05  6.10108519e-05  6.12828050e+00 
 1.04688866e+05  6.10189135e-05  6.19838391e+00 
 1.05895041e+05  6.10271428e-05  6.26912056e+00 
 1.07115112e+05  6.10355808e-05  6.34081556e+00 
 1.08349240e+05  6.10442313e-05  6.41346787e+00 
 1.09597588e+05  6.10530457e-05  6.48664224e+00 
 1.10860318e+05  6.10620794e-05  6.56077204e+00 
 1.12137597e+05  6.10712959e-05  6.63553070e+00 
 1.13429592e+05  6.10807389e-05  6.71124276e+00 
 1.14736472e+05  6.10904260e-05  6.78801547e+00 
 1.16058410e+05  6.11003063e-05  6.86541400e+00 
 1.17395579e+05  6.11104247e-05  6.94376249e+00 
 1.18748154e+05  6.11207712e-05  7.02295139e+00 
 1.20116312e+05  6.11313639e-05  7.10308780e+00 
 1.21500234e+05  6.11421782e-05  7.18395393e+00 
 1.22900101e+05  6.11532908e-05  7.26608966e+00 
 1.24316096e+05  6.11646184e-05  7.34884430e+00 
 1.25748406e+05  6.11761940e-05  7.43243306e+00 
 1.27197218e+05  6.11880673e-05  7.51717881e+00 
 1.28662722e+05  6.12002130e-05  7.60286377e+00 
 1.30145112e+05  6.12126046e-05  7.68927044e+00 
 1.31644581e+05  6.12252928e-05  7.77672136e+00 
 1.33161325e+05  6.12383148e-05  7.86543059e+00 
 1.34695546e+05  6.12515801e-05  7.95474898e+00 
 1.36247442e+05  6.12652061e-05  8.04542989e+00 
 1.37817219e+05  6.12790842e-05  8.13671677e+00 
 1.39405082e+05  6.12933012e-05  8.22914680e+00 
 1.41011240e+05  6.13078461e-05  8.32261024e+00 
 1.42635903e+05  6.13227585e-05  8.41732029e+00 
 1.44279285e+05  6.13379418e-05  8.51262930e+00 
 1.45941600e+05  6.13535561e-05  8.60950324e+00 
 1.47623069e+05  6.13694691e-05  8.70707966e+00 
 1.49323910e+05  6.13857560e-05  8.80578636e+00 
 1.51044348e+05  6.14024232e-05  8.90562094e+00 
 1.52784607e+05  6.14194772e-05  9.00658089e+00 
 1.54544917e+05  6.14369061e-05  9.10855648e+00 
 1.56325509e+05  6.14547531e-05  9.21175955e+00 
 1.58126615e+05  6.14730067e-05  9.31608017e+00 
 1.59948473e+05  6.14916926e-05  9.42162262e+00 
 1.61791322e+05  6.15107604e-05  9.52806307e+00 
 1.63655403e+05  6.15302547e-05  9.63561281e+00 
 1.65540961e+05  6.15502810e-05  9.74480292e+00 
 1.67448244e+05  6.15706900e-05  9.85477548e+00 
 1.69377501e+05  6.15916077e-05  9.96616803e+00 
 1.71328986e+05  6.16129211e-05  1.00783372e+01 
 1.73302956e+05  6.16348000e-05  1.01921326e+01 
 1.75299668e+05  6.16572134e-05  1.03073369e+01 
 1.77319386e+05  6.16800866e-05  1.04235205e+01 
 1.79362374e+05  6.17033835e-05  1.05404678e+01 
 1.81428900e+05  6.17273680e-05  1.06594501e+01 
 1.83519236e+05  6.17518797e-05  1.07796128e+01 
 1.85633655e+05  6.17767949e-05  1.09003158e+01 
 1.87772436e+05  6.18023846e-05  1.10228277e+01 
 1.89935859e+05  6.18286167e-05  1.11469312e+01 
 1.92124208e+05  6.18553662e-05  1.12719865e+01 
 1.94337770e+05  6.18828243e-05  1.13988349e+01 
 1.96576835e+05  6.19107715e-05  1.15264147e+01 
 1.98841698e+05  6.19394016e-05  1.16555662e+01 
 2.01132655e+05  6.19687266e-05  1.17862836e+01 
 2.03450008e+05  6.19986142e-05  1.19179293e+01 
 2.05794060e+05  6.20292663e-05  1.20513404e+01 
 2.08165120e+05  6.20606476e-05  1.21862999e+01 
 2.10563497e+05  6.20925715e-05  1.23219618e+01 
 2.12989507e+05  6.21253958e-05  1.24597899e+01 
 2.15443469e+05  6.21588838e-05  1.25987284e+01 
 2.17925704e+05  6.21931991e-05  1.27393993e+01 
 2.20436538e+05  6.22282002e-05  1.28811682e+01 
 2.22976301e+05  6.22641066e-05  1.30248643e+01 
 2.25545326e+05  6.23007224e-05  1.31696447e+01 
 2.28143949e+05  6.23381645e-05  1.33159202e+01 
 2.30772513e+05  6.23764461e-05  1.34636830e+01 
 2.33431362e+05  6.24156352e-05  1.36131331e+01 
 2.36120845e+05  6.24556916e-05  1.37640543e+01 
 2.38841315e+05  6.24965727e-05  1.39162314e+01 
 2.41593128e+05  6.25385733e-05  1.40706914e+01 
 2.44376647e+05  6.25813139e-05  1.42259762e+01 
 2.47192236e+05  6.26250341e-05  1.43829049e+01 
 2.50040265e+05  6.26698079e-05  1.45416739e+01 
 2.52921107e+05  6.27155940e-05  1.47020668e+01 
 2.55835142e+05  6.27623487e-05  1.48638679e+01 
 2.58782750e+05  6.28102068e-05  1.50274781e+01 
 2.61764319e+05  6.28592474e-05  1.51930907e+01 
 2.64780240e+05  6.29092441e-05  1.53598752e+01 
 2.67830910e+05  6.29603339e-05  1.55282306e+01 
 2.70916727e+05  6.30125964e-05  1.56983498e+01 
 2.74038098e+05  6.30659865e-05  1.58700167e+01 
 2.77195432e+05  6.31205852e-05  1.60434228e+01 
 2.80389144e+05  6.31766063e-05  1.62191634e+01 
 2.83619651e+05  6.32336152e-05  1.63958054e+01 
 2.86887379e+05  6.32919545e-05  1.65743496e+01 
 2.90192756e+05  6.33515784e-05  1.67545796e+01 
 2.93536216e+05  6.34125740e-05  1.69366827e+01 
 2.96918198e+05  6.34748943e-05  1.71204425e+01 
 3.00339145e+05  6.35386281e-05  1.73060448e+01 
 3.03799507e+05  6.36037971e-05  1.74934738e+01 
 3.07299737e+05  6.36702818e-05  1.76823137e+01 
 3.10840296e+05  6.37383142e-05  1.78731479e+01 
 3.14421647e+05  6.38077740e-05  1.80655607e+01 
 3.18044260e+05  6.38788273e-05  1.82599328e+01 
 3.21708612e+05  6.39514249e-05  1.84560474e+01 
 3.25415182e+05  6.40257381e-05  1.86542812e+01 
 3.29164458e+05  6.41016435e-05  1.88542195e+01 
 3.32956931e+05  6.41790878e-05  1.90556472e+01 
 3.36793099e+05  6.42583217e-05  1.92591346e+01 
 3.40673466e+05  6.43393726e-05  1.94646598e+01 
 3.44598540e+05  6.44220330e-05  1.96716150e+01 
 3.48568837e+05  6.45064818e-05  1.98803710e+01 
 3.52584878e+05  6.45929044e-05  2.00912938e+01 
 3.56647189e+05  6.46813311e-05  2.03043582e+01 
 3.60756305e+05  6.47713025e-05  2.05183810e+01 
 3.64912764e+05  6.48634941e-05  2.07348847e+01 
 3.69117112e+05  6.49577748e-05  2.09534558e+01 
 3.73369900e+05  6.50538390e-05  2.11733024e+01 
 3.77671687e+05  6.51520471e-05  2.13951666e+01 
 3.82023036e+05  6.52526017e-05  2.16194005e+01 
 3.86424520e+05  6.53550189e-05  2.18448357e+01 
 3.90876716e+05  6.54598446e-05  2.20725837e+01 
 3.95380208e+05  6.55669381e-05  2.23022354e+01 
 3.99935587e+05  6.56761522e-05  2.25333857e+01 
 4.04543450e+05  6.57878732e-05  2.27667566e+01 
 4.09204403e+05  6.59017736e-05  2.30015683e+01 
 4.13919058e+05  6.60182468e-05  2.32385367e+01 
 4.18688032e+05  6.61375149e-05  2.34779967e+01 
 4.23511952e+05  6.62588705e-05  2.37184336e+01 
 4.28391452e+05  6.63830906e-05  2.39612929e+01 
 4.33327170e+05  6.65102172e-05  2.42065336e+01 
 4.38319755e+05  6.66393286e-05  2.44522919e+01 
 4.43369862e+05  6.67716070e-05  2.47007257e+01 
 4.48478155e+05  6.69063144e-05  2.49503417e+01 
 4.53645302e+05  6.70442693e-05  2.52025508e+01 
 4.58871983e+05  6.71851191e-05  2.54565878e+01 
 4.64158883e+05  6.73286982e-05  2.57120563e+01 
 4.69506697e+05  6.74754452e-05  2.59696318e+01 
 4.74916125e+05  6.76251963e-05  2.62289157e+01 
 4.80387878e+05  6.77781954e-05  2.64902194e+01 
 4.85922674e+05  6.79340651e-05  2.67527957e+01 
 4.91521239e+05  6.80932587e-05  2.70173059e+01 
 4.97184308e+05  6.82562447e-05  2.72843982e+01 
 5.02912624e+05  6.84219992e-05  2.75522865e+01 
 5.08706939e+05  6.85916328e-05  2.78226585e+01 
 5.14568013e+05  6.87645405e-05  2.80944288e+01 
 5.20496616e+05  6.89411999e-05  2.83682352e+01 
 5.26493525e+05  6.91212114e-05  2.86433459e+01 
 5.32559528e+05  6.93048347e-05  2.89200538e+01 
 5.38695420e+05  6.94923375e-05  2.91986446e+01 
 5.44902008e+05  6.96842242e-05  2.94797293e+01 
 5.51180104e+05  6.98791655e-05  2.97612523e+01 
 5.57530533e+05  7.00783490e-05  3.00448276e+01 
 5.63954130e+05  7.02813556e-05  3.03297377e+01 
 5.70451735e+05  7.04886986e-05  3.06165829e+01 
 5.77024203e+05  7.07004287e-05  3.09053003e+01 
 5.83672396e+05  7.09161139e-05  3.11951829e+01 
 5.90397186e+05  7.11367650e-05  3.14874582e+01 
 5.97199455e+05  7.13607272e-05  3.17798254e+01 
 6.04080098e+05  7.15899975e-05  3.20747771e+01 
 6.11040015e+05  7.18236459e-05  3.23709755e+01 
 6.18080121e+05  7.20614634e-05  3.26680504e+01 
 6.25201340e+05  7.23047528e-05  3.29674974e+01 
 6.32404607e+05  7.25525581e-05  3.32680028e+01 
 6.39690866e+05  7.28051778e-05  3.35698132e+01 
 6.47061073e+05  7.30621394e-05  3.38722569e+01 
 6.54516197e+05  7.33245230e-05  3.41764861e+01 
 6.62057214e+05  7.35926497e-05  3.44827212e+01 
 6.69685116e+05  7.38649890e-05  3.47890976e+01 
 6.77400903e+05  7.41439761e-05  3.50982198e+01 
 6.85205587e+05  7.44267239e-05  3.54067686e+01 
 6.93100193e+05  7.47154194e-05  3.57170324e+01 
 7.01085757e+05  7.50106711e-05  3.60295015e+01 
 7.09163327e+05  7.53108958e-05  3.63423650e+01 
 7.17333962e+05  7.56155720e-05  3.66549993e+01 
